Headword	English_IPA	English_Sound_Classes
brook	b r ʊ k	P R V K
slay	s l eɪ	S R V
lock	l ɔ k	R V K
begin	ɡ ɪ n	K V N
bread	b r ɛ d	P R V T
six	s ɪ k s	S V K S
neck	n ɛ k	N V K
wart	ʋ ɔː t	W V T
beard	b ɪə d	P V T
dale	d eɪ l	T V R
sit	s ɪ t	S V T
tongs	t ɔ ŋ	T V N
salt	s ɔː l t	S V R T
flee	f l iː	P R V
spar	s p ɑː r	S P V R
whore	h ɔː r	H V R
drive	d r aɪ v	T R V W
cud	k ʌ d	K V T
hold	h əʊ l d	H V R T
straw	s t r ɔː	S T R V
fish	f ɪ ʃ	P V S
withy	ʋ ɪ ð	W V T
wasp	ʋ ɔ s p	W V S P
swallow	s ʋ ɔ l	S W V R
show	ʃ əʊ	S V
goose	ɡ uː s	K V S
bow	b əʊ	P V
board	b ɔː d	P V T
rope	r əʊ p	R V P
bath	b ɑː θ	P V T
fast	f ɑː s t	P V S T
west	ʋ ɛ s t	W V S T
soul	s əʊ l	S V R
lust	l ʌ s t	R V S T
eat	iː t	V T
have	h æ v	H V W
hair	h ɛə r	H V R
thrash	θ r æ ʃ	T R V S
land	l æ n d	R V N T
span	s p æ n	S P V N
stream	s t r iː m	S T R V M
sup	s ʌ p	S V P
sheep	ʃ iː p	S V P
send	s ɛ n d	S V N T
rock	r ɔ k	R V K
team	t iː m	T V M
forlorn	l ɔː	R V
still	s t ɪ l	S T V R
shine	ʃ aɪ n	S V N
staff	s t ɑː f	S T V P
flood	f l ʌ d	P R V T
stone	s t əʊ n	S T V N
bow	b əʊ	P V
shear	ʃ ɪə r	S V R
bake	b eɪ k	P V K
list	l ɪ s t	R V S T
shove	ʃ ʌ v	S V W
help	h ɛ l p	H V R P
bid	b ɪ d	P V T
make	m eɪ k	M V K
rye	r aɪ	R V
wool	ʋ ʊ l	W V R
sea	s iː	S V
weasel	ʋ iː z ə l	W V S V R
spread	s p r ɛ d	S P R V T
craft	k r ɑː f t	K R V P T
hearth	h ɑː θ	H V T
dew	d uː	T V
wolf	ʋ ʊ l f	W V R P
harvest	h ɑː v s t	H V W S T
