HEADWORD	IPA	SOUND_CLASSES
Groteske	g r o t ɛ s k ə	K R V T V S K V
groteskerweise	g r o t ɛ s k ə r v ai z ə	K R V T V S K V R W V S V
Grotte	g r ɔ t ə	K R V T V
Grube	g r u b ə	K R V P V
grübeln	g r y b ə l n	K R V P V R N
Grubenarbeiter	g r u b ə n a r b ai t ə r	K R V P V N V R P V T V R
Grubenbau	g r u b ə n b au	K R V P V N P V
Grubenlampe	g r u b ə n l a m p ə	K R V P V N R V M P V
Grübler	g r y b l ə r	K R V P R V R
grüblerisch	g r y b l ə r ɪ ʃ	K R V P R V R V S
grün	g r y n	K R V N
grünen	g r y n ə n	K R V N V N
Grün	g r y n	K R V N
Grünalge	g r y n a l g ə	K R V N V R K V
gründen	g r ʏ n d ə n	K R V N T V N
Grund	g r ʊ n t	K R V N T
Grundausbildung	g r ʊ n t au s b ɪ l d ʊ ŋ	K R V N T V S P V R T V N
Grundausstattung	g r ʊ n t au s ʃ t a t ʊ ŋ	K R V N T V S S T V T V N
Grundbedeutung	g r ʊ n t b ə d χ t ʊ ŋ	K R V N T P V T K T V N
Grundbedingung	g r ʊ n t b ə d ɪ ŋ ʊ ŋ	K R V N T P V T V N V N
Grundbegriff	g r ʊ n t b ə g r ɪ f	K R V N T P V K R V P
Grundbesitz	g r ʊ n t b ə z ɪ ts	K R V N T P V S V K
Grundbuch	g r ʊ n t b u x	K R V N T P V K
Grundeigentum	g r ʊ n t ai g ə n t u m	K R V N T V K V N T V M
Grundeigentümer	g r ʊ n t ai g ə n t y m ə r	K R V N T V K V N T V M V R
gründeln	g r ʏ n d ə l n	K R V N T V R N
Gründer	g r ʏ n d ə r	K R V N T V R
Grunderwerb	g r ʊ n t ɛ r v ɛ r p	K R V N T V R W V R P
Grunderwerbsteür	g r ʊ n t ɛ r v ɛ r p ʃ t χ ə r	K R V N T V R W V R P S T K V R
grundfalsch	g r ʊ n t f a l ʃ	K R V N T P V R S
Grundfehler	g r ʊ n t f e l ə r	K R V N T P V R V R
grundfesten	g r ʊ n t f ɛ s t ə n	K R V N T P V S T V N
Grundgebühr	g r ʊ n t g ə b y r	K R V N T K V P V R
Grundgesetz	g r ʊ n t g ə z ɛ ts	K R V N T K V S V K
grundieren	g r ʊ n d i r ə n	K R V N T V R V N
gründig	g r ʏ n d ɪ x	K R V N T V K
Grundlage	g r ʊ n t l a g ə	K R V N T R V K V
Grundlagenforschung	g r ʊ n t l a g ə n f ɔ r ʃ ʊ ŋ	K R V N T R V K V N P V R S V N
grundlegend	g r ʊ n t l e g ə n t	K R V N T R V K V N T
gründlich	g r ʏ n t l ɪ x	K R V N T R V K
Gründlichkeit	g r ʏ n t l ɪ x k ai t	K R V N T R V K K V T
Grundlinie	g r ʊ n t l i n i ə	K R V N T R V N V V
grundlos	g r ʊ n t l o s	K R V N T R V S
Grundlosigkeit	g r ʊ n t l o z ɪ x k ai t	K R V N T R V S V K K V T
Grundmaür	g r ʊ n t m au ə r	K R V N T M V V R
Grundnahrungsmittel	g r ʊ n t n a r ʊ ŋ s m ɪ t ə l	K R V N T N V R V N S M V T V R
Grundordnung	g r ʊ n t ɔ r d n ʊ ŋ	K R V N T V R T N V N
Grundprinzip	g r ʊ n t p r ɪ n ts i p	K R V N T P R V N K V P
Grundrechenart	g r ʊ n t r ɛ x ə n a r t	K R V N T R V K V N V R T
Grundrecht	g r ʊ n t r ɛ x t	K R V N T R V K T
Grundregel	g r ʊ n t r e g ə l	K R V N T R V K V R
Grundrente	g r ʊ n t r ɛ n t ə	K R V N T R V N T V
Grundriss	g r ʊ n t r ɪ s	K R V N T R V S
Grundsatz	g r ʊ n t z a ts	K R V N T S V K
Grundsatzerklärung	g r ʊ n t z a ts ɛ r k l æ r ʊ ŋ	K R V N T S V K V R K R V R V N
grundsätzlich	g r ʊ n t z ɛ ts l ɪ x	K R V N T S V K R V K
Grundschule	g r ʊ n t ʃ u l ə	K R V N T S V R V
Grundstein	g r ʊ n t ʃ t ai n	K R V N T S T V N
Grundsteinlegung	g r ʊ n t ʃ t ai n l e g ʊ ŋ	K R V N T S T V N R V K V N
Grundstock	g r ʊ n t ʃ t ɔ k	K R V N T S T V K
Grundstoff	g r ʊ n t ʃ t ɔ f	K R V N T S T V P
Grundstück	g r ʊ n t ʃ t ʊ k	K R V N T S T V K
Grundstufe	g r ʊ n t ʃ t u f ə	K R V N T S T V P V
Grundton	g r ʊ n t t o n	K R V N T T V N
Gründung	g r ʏ n d ʊ ŋ	K R V N T V N
Gründungskapital	g r ʏ n d ʊ ŋ s k a p i t a l	K R V N T V N S K V P V T V R
grundverschieden	g r ʊ n t f ɛ r ʃ i d ə n	K R V N T P V R S V T V N
Grundwasser	g r ʊ n t v a s ə r	K R V N T W V S V R
Grundwasserspiegel	g r ʊ n t v a s ə r ʃ p i g ə l	K R V N T W V S V R S P V K V R
Grundwert	g r ʊ n t v e r t	K R V N T W V R T
Grundwort	g r ʊ n t v ɔ r t	K R V N T W V R T
Grundzahl	g r ʊ n t ts a l	K R V N T K V R
Grundzins	g r ʊ n t ts ɪ n s	K R V N T K V N S
Grüne	g r y n ə	K R V N V
Grüne	g r y n ə	K R V N V
Grüne	g r y n ə	K R V N V
Grünfläche	g r y n f l ɛ x ə	K R V N P R V K V
Grünfutter	g r y n f ʊ t ə r	K R V N P V T V R
Grüngürtel	g r y n g ʏ r t ə l	K R V N K V R T V R
grünlich	g r y n l ɪ x	K R V N R V K
Grünschnabel	g r y n ʃ n a b ə l	K R V N S N V P V R
Grünspecht	g r y n ʃ p ɛ x t	K R V N S P V K T
Gruppe	g r ʊ p ə	K R V P V
Gruppenaufnahme	g r ʊ p ə n au f n a m ə	K R V P V N V P N V M V
Gruppenbild	g r ʊ p ə n b ɪ l t	K R V P V N P V R T
Gruppendynamik	g r ʊ p ə n d y n a m ɪ k	K R V P V N T V N V M V K
gruppendynamisch	g r ʊ p ə n d y n a m ɪ ʃ	K R V P V N T V N V M V S
Gruppenführer	g r ʊ p ə n f y r ə r	K R V P V N P V R V R
Gruppenunterricht	g r ʊ p ə n ʊ n t ə r r ɪ x t	K R V P V N V N T V R R V K T
gruppenweise	g r ʊ p ə n v ai z ə	K R V P V N W V S V
gruppieren	g r ʊ p i r ə n	K R V P V R V N
Gruppierung	g r ʊ p i r ʊ ŋ	K R V P V R V N
Grus	g r u s	K R V S
gruseln	g r u z ə l n	K R V S V R N
gruselig	g r u z ə l ɪ x	K R V S V R V K
gruslig	g r u z l ɪ x	K R V S R V K
Gruss	g r u s	K R V S
grüssen	g r y s ə n	K R V S V N
grusslos	g r u s l o s	K R V S R V S
Guano	g u a n o	K V V N V
gucken	g ʊ k ə n	K V K V N
Guckfenster	g ʊ k f ɛ n s t ə r	K V K P V N S T V R
Guckkasten	g ʊ k k a s t ə n	K V K K V S T V N
Guckloch	g ʊ k l ɔ x	K V K R V K
Gürilla	g e r ɪ l j a	K V R V R J V
Gürilla	g e r ɪ l j a	K V R V R J V
Guillotine	g ɪ l j o t i n ə	K V R J V T V N V
Gulasch	g u l a ʃ	K V R V S
Gulden	g ʊ l d ə n	K V R T V N
gültig	g ʏ l t ɪ x	K V R T V K
Gültigkeit	g ʏ l t ɪ x k ai t	K V R T V K K V T
Gummi	g ʊ m i	K V M V
gummiartig	g ʊ m i a r t ɪ x	K V M V V R T V K
Gummiball	g ʊ m i b a l	K V M V P V R
Gummiband	g ʊ m i b a n t	K V M V P V N T
Gummibaum	g ʊ m i b au m	K V M V P V M
Gummimantel	g ʊ m i m a n t ə l	K V M V M V N T V R
Gummireifen	g ʊ m i r ai f ə n	K V M V R V P V N
Gummistiefel	g ʊ m i ʃ t i f ə l	K V M V S T V P V R
Gummiunterlage	g ʊ m i ʊ n t ə r l a g ə	K V M V V N T V R R V K V
Gunst	g ʊ n s t	K V N S T
günstig	g ʏ n s t ɪ x	K V N S T V K
günstigenfalls	g ʏ n s t i g ə n f a l s	K V N S T V K V N P V R S
Günstling	g ʏ n s t l ɪ ŋ	K V N S T R V N
gurgeln	g ʊ r g ə l n	K V R K V R N
Gurgel	g ʊ r g ə l	K V R K V R
Gurke	g ʊ r k ə	K V R K V
Gurkensalat	g ʊ r k ə n z a l a t	K V R K V N S V R V T
Gurkha	g ʊ r k a	K V R K V
gurren	g ʊ r ə n	K V R V N
gurten	g ʊ r t ə n	K V R T V N
Gurt	g ʊ r t	K V R T
Gürtel	g ʏ r t ə l	K V R T V R
Gürteltier	g ʏ r t ə l t i r	K V R T V R T V R
Guru	g u r u	K V R V
Guss	g ʊ s	K V S
Gusseisen	g ʊ s ai z ə n	K V S V S V N
Gussform	g ʊ s f ɔ r m	K V S P V R M
gustios	g ʊ s t i ɶː s	K V S T V V S
Gusto	g ʊ s t o	K V S T V
gut	g u t	K V T
Gut	g u t	K V T
gutachten	g u t a x t ə n	K V T V K T V N
Gutachten	g u t a x t ə n	K V T V K T V N
Gutachter	g u t a x t ə r	K V T V K T V R
gutachtlich	g u t a x t l ɪ x	K V T V K T R V K
gutartig	g u t a r t ɪ x	K V T V R T V K
Gutartigkeit	g u t a r t ɪ x k ai t	K V T V R T V K K V T
gutaussehend	g u t au s z e ə n t	K V T V S S V V N T
gutbürgerlich	g u t b ʏ r g ə r l ɪ x	K V T P V R K V R R V K
Güte	g y t ə	K V T V
Güterabfertigung	g y t ə r a p f ɛ r t ɪ g ʊ ŋ	K V T V R V P P V R T V K V N
Güterbahnhof	g y t ə r b a n h o f	K V T V R P V N H V P
Gütergemeinschaft	g y t ə r g ə m ai n ʃ a f t	K V T V R K V M V N S V P T
Gütertrennung	g y t ə r t r ɛ n ʊ ŋ	K V T V R T R V N V N
Güterwagen	g y t ə r v a g ə n	K V T V R W V K V N
Güterzug	g y t ə r ts u k	K V T V R K V K
Gutfinden	g u t f ɪ n d ə n	K V T P V N T V N
gutgehen	g u t g e ə n	K V T K V V N
gutgehend	g u t g e ə n t	K V T K V V N T
gutgelaunt	g u t g ə l au n t	K V T K V R V N T
gutgelungen	g u t g ə l ʊ ŋ ə n	K V T K V R V N V N
gutgemeint	g u t g ə m ai n t	K V T K V M V N T
gutgeordnet	g u t g ə ɔ r d n ə t	K V T K V V R T N V T
gutgesinnt	g u t g ə z ɪ n t	K V T K V S V N T
gutgläubig	g u t g l χ b ɪ x	K V T K R K P V K
Gutgläubigkeit	g u t g l χ b ɪ x k ai t	K V T K R K P V K K V T
guthaben	g u t h a b ə n	K V T H V P V N
Guthaben	g u t h a b ə n	K V T H V P V N
gutheissen	g u t h ai s ə n	K V T H V S V N
gutherzig	g u t h ɛ r ts ɪ x	K V T H V R K V K
Gutherzigkeit	g u t h ɛ r ts ɪ x k ai t	K V T H V R K V K K V T
gütig	g y t ɪ x	K V T V K
gütlich	g y t l ɪ x	K V T R V K
gutmachen	g u t m a x ə n	K V T M V K V N
gutmütig	g u t m u t ɪ x	K V T M V T V K
Gutmütigkeit	g u t m u t ɪ x k ai t	K V T M V T V K K V T
gutsagen	g u t z a g ə n	K V T S V K V N
gutschreiben	g u t ʃ r ai b ə n	K V T S R V P V N
Gutschrift	g u t ʃ r ɪ f t	K V T S R V P T
Gutsherr	g u ts h ɛ r	K V K H V R
Gutshof	g u ts h o f	K V K H V P
gutsprechen	g u t ʃ p r ɛ x ə n	K V T S P R V K V N
guttun	g u t t u n	K V T T V N
guttural	g ʊ t u r a l	K V T V R V R
gutunterrichtet	g u t ʊ n t ə r r ɪ x t ə t	K V T V N T V R R V K T V T
gutwillig	g u t v ɪ l ɪ x	K V T W V R V K
Gutwilligkeit	g u t v ɪ l ɪ x k ai t	K V T W V R V K K V T
gymnasial	g ʏ m n a z i a l	K V M N V S V V R
Gymnasialklasse	g ʏ m n a z i a l k l a s ə	K V M N V S V V R K R V S V
Gymnasiast	g ʏ m n a z i a s t	K V M N V S V V S T
Gymnasium	g ʏ m n a z i ʊ m	K V M N V S V V M
Gymnastik	g ʏ m n a s t ɪ k	K V M N V S T V K
Gymnastiker	g ʏ m n a s t i k ə r	K V M N V S T V K V R
gymnastisch	g ʏ m n a s t ɪ ʃ	K V M N V S T V S
Gyroskop	g y r ɔ s k o p	K V R V S K V P
H	h a	H V
haaren	h a r ə n	H V R V N
Haar	h a r	H V R
Haarausfall	h a r au s f a l	H V R V S P V R
Haaresbreite	h a r ə s b r ai t ə	H V R V S P R V T V
Haarfarbe	h a r f a r b ə	H V R P V R P V
haarfein	h a r f ai n	H V R P V N
haargenau	h a r g ə n au	H V R K V N V
haarig	h a r ɪ x	H V R V K
haarscharf	h a r ʃ a r f	H V R S V R P
Haarschnitt	h a r ʃ n ɪ t	H V R S N V T
Haarspalterei	h a r ʃ p a l t ə r ai	H V R S P V R T V R V
haarsträubend	h a r s t r χ b ə n t	H V R S T R K P V N T
haben	h a b ə n	H V P V N
Hab	h a p	H V P
Habe	h a b ə	H V P V
Haben	h a b ə n	H V P V N
Habenseite	h a b ə n z ai t ə	H V P V N S V T V
Habgier	h a p g i r	H V P K V R
habgierig	h a p g i r ɪ x	H V P K V R V K
habhaft	h a p h a f t	H V P H V P T
Habicht	h a b ɪ x t	H V P V K T
habil	h a b i l	H V P V R
Habilitation	h a b i l i t a ts i o n	H V P V R V T V K V V N
habilitieren	h a b i l i t i r ə n	H V P V R V T V R V N
Habit	h a b i t	H V P V T
Habit	h a b i t	H V P V T
habitüll	h a b i t u ɛ l	H V P V T V V R
hablich	h a p l ɪ x	H V P R V K
Habschaft	h a p ʃ a f t	H V P S V P T
Habseligkeit	h a p z e l ɪ x k ai t	H V P S V R V K K V T
Habsucht	h a p z ʊ x t	H V P S V K T
habsüchtig	h a p z ʏ x t ɪ x	H V P S V K T V K
Hachse	h a k s ə	H V K S V
hacken	h a k ə n	H V K V N
Hackbraten	h a k b r a t ə n	H V K P R V T V N
Hackbrett	h a k b r ɛ t	H V K P R V T
Hacke	h a k ə	H V K V
Hackfleisch	h a k f l ai ʃ	H V K P R V S
Hackmesser	h a k m ɛ s ə r	H V K M V S V R
hadern	h a d ə r n	H V T V R N
Hader	h a d ə r	H V T V R
Hades	h a d ɛ s	H V T V S
Hafen	h a f ə n	H V P V N
Hafenarbeiter	h a f ə n a r b ai t ə r	H V P V N V R P V T V R
Hafenkneipe	h a f ə n k n ai p ə	H V P V N K N V P V
Hafenstadt	h a f ə n ʃ t a t	H V P V N S T V T
Hafer	h a f ə r	H V P V R
Haferbrei	h a f ə r b r ai	H V P V R P R V
Haferschleim	h a f ə r ʃ l ai m	H V P V R S R V M
Hafner	h a f n ə r	H V P N V R
haften	h a f t ə n	H V P T V N
Haft	h a f t	H V P T
Haft	h a f t	H V P T
haftbar	h a f t b a r	H V P T P V R
Haftbefehl	h a f t b ə f e l	H V P T P V P V R
haftenbleiben	h a f t ə n b l ai b ə n	H V P T V N P R V P V N
Haftentlassung	h a f t ɛ n t l a s ʊ ŋ	H V P T V N T R V S V N
haftfähig	h a f t f æ ɪ x	H V P T P V V K
Haftfrist	h a f t f r ɪ s t	H V P T P R V S T
Häftling	h ɛ f t l ɪ ŋ	H V P T R V N
Haftpflicht	h a f t pf l ɪ x t	H V P T P R V K T
haftpflichtig	h a f t pf l ɪ x t ɪ x	H V P T P R V K T V K
Haftpflichtversicherung	h a f t pf l ɪ x t f ɛ r z ɪ x ə r ʊ ŋ	H V P T P R V K T P V R S V K V R V N
Haftung	h a f t ʊ ŋ	H V P T V N
Hag	h a k	H V K
Hagebuche	h a g ə b u x ə	H V K V P V K V
Hagebutte	h a g ə b ʊ t ə	H V K V P V T V
hageln	h a g ə l n	H V K V R N
Hagel	h a g ə l	H V K V R
hageldicht	h a g ə l d ɪ x t	H V K V R T V K T
Hagelschlag	h a g ə l ʃ l a k	H V K V R S R V K
Hagen	h a g ə n	H V K V N
hager	h a g ə r	H V K V R
Hagerkeit	h a g ə r k ai t	H V K V R K V T
Hagiograph	h a g i o g r a f	H V K V V K R V P
Häher	h æ ə r	H V V R
Hahn	h a n	H V N
Hahn	h a n	H V N
Hähnchen	h æ n x ə n	H V N K V N
Hahnenfeder	h a n ə n f e d ə r	H V N V N P V T V R
Hahnenfuss	h a n ə n f u s	H V N V N P V S
Hahnenkamm	h a n ə n k a m	H V N V N K V M
Hahnenkampf	h a n ə n k a m pf	H V N V N K V M P
Hahnrei	h a n r ai	H V N R V
Hai	h ai	H V
Haifisch	h ai f ɪ ʃ	H V P V S
Hain	h ai n	H V N
haken	h a k ə n	H V K V N
Häkchen	h æ k x ə n	H V K K V N
häkeln	h æ k ə l n	H V K V R N
Häkelarbeit	h æ k ə l a r b ai t	H V K V R V R P V T
Häkelei	h æ k ə l ai	H V K V R V
Häkelnadel	h æ k ə l n a d ə l	H V K V R N V T V R
Haken	h a k ə n	H V K V N
hakenförmig	h a k ə n f œ r m ɪ x	H V K V N P V R M V K
Hakenkreuz	h a k ə n k r χ ts	H V K V N K R K K
Hakennase	h a k ə n n a z ə	H V K V N N V S V
halb	h a l p	H V R P
Halbaffe	h a l p a f ə	H V R P V P V
halbamtlich	h a l p a m t l ɪ x	H V R P V M T R V K
halbbitter	h a l p b ɪ t ə r	H V R P P V T V R
Halbblut	h a l p b l u t	H V R P P R V T
Halbbruder	h a l p b r u d ə r	H V R P P R V T V R
halbdunkel	h a l p d ʊ ŋ k ə l	H V R P T V N K V R
Halbdunkel	h a l p d ʊ ŋ k ə l	H V R P T V N K V R
Halbfabrikat	h a l p f a b r i k a t	H V R P P V P R V K V T
Halbfinale	h a l p f i n a l ə	H V R P P V N V R V
halbgar	h a l p g a r	H V R P K V R
halbherzig	h a l p h ɛ r ts ɪ x	H V R P H V R K V K
halbieren	h a l b i r ə n	H V R P V R V N
Halbierung	h a l b i r ʊ ŋ	H V R P V R V N
Halbinsel	h a l p ɪ n z ə l	H V R P V N S V R
halbjährig	h a l p j æ r ɪ x	H V R P J V R V K
halbjährlich	h a l p j æ r l ɪ x	H V R P J V R R V K
halblang	h a l p l a ŋ	H V R P R V N
halbleer	h a l p l e r	H V R P R V R
halbmast	h a l p m a s t	H V R P M V S T
Halbmond	h a l p m o n t	H V R P M V N T
halbmondförmig	h a l p m o n t f œ r m ɪ x	H V R P M V N T P V R M V K
halbnackt	h a l p n a k t	H V R P N V K T
halboffen	h a l p ɔ f ə n	H V R P V P V N
Halbschatten	h a l p ʃ a t ə n	H V R P S V T V N
Halbschlaf	h a l p ʃ l a f	H V R P S R V P
Halbschuh	h a l p ʃ u	H V R P S V
halbstündig	h a l p ʃ t ʏ n d ɪ x	H V R P S T V N T V K
halbstündlich	h a l p ʃ t ʏ n t l ɪ x	H V R P S T V N T R V K
halbtags	h a l p t a k s	H V R P T V K S
Halbtagsarbeit	h a l p t a k s a r b ai t	H V R P T V K S V R P V T
Halbton	h a l p t o n	H V R P T V N
halbtot	h a l p t o t	H V R P T V T
halbvoll	h a l p f ɔ l	H V R P P V R
halbwegs	h a l p v e k s	H V R P W V K S
Halde	h a l d ə	H V R T V
hälften	h ɛ l f t ə n	H V R P T V N
Hälfte	h ɛ l f t ə	H V R P T V
halftern	h a l f t ə r n	H V R P T V R N
Halfter	h a l f t ə r	H V R P T V R
Halfter	h a l f t ə r	H V R P T V R
Halfter	h a l f t ə r	H V R P T V R
hallen	h a l ə n	H V R V N
Hall	h a l	H V R
Hall	h a l	H V R
Halle	h a l ə	H V R V
Hallenbad	h a l ə n b a t	H V R V N P V T
hallo	h a l o	H V R V
Hallo	h a l o	H V R V
Halluzination	h a l u ts i n a ts i o n	H V R V K V N V K V V N
halluzinativ	h a l u ts i n a t i f	H V R V K V N V T V P
halluzinieren	h a l u ts i n i r ə n	H V R V K V N V R V N
Halm	h a l m	H V R M
Halma	h a l m a	H V R M V
Hälmchen	h ɛ l m x ə n	H V R M K V N
Halmfrucht	h a l m f r ʊ x t	H V R M P R V K T
halmig	h a l m ɪ x	H V R M V K
halogen	h a l o g e n	H V R V K V N
Halogen	h a l o g e n	H V R V K V N
Hals	h a l s	H V R S
Halsabschneider	h a l s a p ʃ n ai d ə r	H V R S V P S N V T V R
halsabschneiderisch	h a l s a p ʃ n ai d ə r ɪ ʃ	H V R S V P S N V T V R V S
Halsausschnitt	h a l s au s ʃ n ɪ t	H V R S V S S N V T
Halsband	h a l s b a n t	H V R S P V N T
halsbrecherisch	h a l s b r ɛ x ə r ɪ ʃ	H V R S P R V K V R V S
Halsentzündung	h a l s ɛ n t ts ʏ n d ʊ ŋ	H V R S V N T K V N T V N
Halskette	h a l s k ɛ t ə	H V R S K V T V
Halsschlagader	h a l s ʃ l a k a d ə r	H V R S S R V K V T V R
halsstarrig	h a l s ʃ t a r ɪ x	H V R S S T V R V K
Halsstarrigkeit	h a l s ʃ t a r ɪ x k ai t	H V R S S T V R V K K V T
Halstuch	h a l s t u x	H V R S T V K
Halsweite	h a l s v ai t ə	H V R S W V T V
halt	h a l t	H V R T
halten	h a l t ə n	H V R T V N
Halt	h a l t	H V R T
halt	h a l t	H V R T
haltbar	h a l t b a r	H V R T P V R
Haltbarkeit	h a l t b a r k ai t	H V R T P V R K V T
Halteplatz	h a l t ə p l a ts	H V R T V P R V K
Haltepunkt	h a l t ə p ʊ ŋ k t	H V R T V P V N K T
Halter	h a l t ə r	H V R T V R
Haltestelle	h a l t ə ʃ t ɛ l ə	H V R T V S T V R V
Halteverbot	h a l t ə f ɛ r b o t	H V R T V P V R P V T
haltlos	h a l t l o s	H V R T R V S
Haltlosigkeit	h a l t l o z ɪ x k ai t	H V R T R V S V K K V T
haltmachen	h a l t m a x ə n	H V R T M V K V N
Haltung	h a l t ʊ ŋ	H V R T V N
Halunke	h a l ʊ ŋ k ə	H V R V N K V
Hamburg	h a m b ʊ r k	H V M P V R K
hämisch	h æ m ɪ ʃ	H V M V S
Hammel	h a m ə l	H V M V R
hämmern	h ɛ m ə r n	H V M V R N
Hammer	h a m ə r	H V M V R
Hammerwerfen	h a m ə r v ɛ r f ə n	H V M V R W V R P V N
Hammondorgel	h æ m ə n t ɔ r g ə l	H V M V N T V R K V R
Hämoglobin	h ɛ m o g l o b i n	H V M V K R V P V N
Hämorrhoide	h ɛ m ɔ r o i d ə	H V M V R V V T V
hampeln	h a m p ə l n	H V M P V R N
Hampelmann	h a m p ə l m a n	H V M P V R M V N
hamstern	h a m s t ə r n	H V M S T V R N
Hamster	h a m s t ə r	H V M S T V R
Hamsterbacke	h a m s t ə r b a k ə	H V M S T V R P V K V
Hand	h a n t	H V N T
handarbeiten	h a n t a r b ai t ə n	H V N T V R P V T V N
Handarbeit	h a n t a r b ai t	H V N T V R P V T
Handball	h a n t b a l	H V N T P V R
Handballer	h a n t b a l ə r	H V N T P V R V R
handbreit	h a n t b r ai t	H V N T P R V T
Handbreit	h a n t b r ai t	H V N T P R V T
Handbremse	h a n t b r ɛ m z ə	H V N T P R V M S V
Händchenhalten	h ɛ n t x ə n h a l t ə n	H V N T K V N H V R T V N
Händedruck	h ɛ n d ə d r ʊ k	H V N T V T R V K
handeln	h a n d ə l n	H V N T V R N
Handel	h a n d ə l	H V N T V R
Handelsabkommen	h a n d ə l s a p k ɔ m ə n	H V N T V R S V P K V M V N
Handelsbank	h a n d ə l s b a ŋ k	H V N T V R S P V N K
Handelsgesellschaft	h a n d ə l s g ə z ɛ l ʃ a f t	H V N T V R S K V S V R S V P T
Handelskammer	h a n d ə l s k a m ə r	H V N T V R S K V M V R
Handelsreisende	h a n d ə l s r ai z ə n d ə	H V N T V R S R V S V N T V
handelsüblich	h a n d ə l s y p l ɪ x	H V N T V R S V P R V K
händelsüchtig	h ɛ n d ə l z ʏ x t ɪ x	H V N T V R S V K T V K
Handelsvertrag	h a n d ə l s f ɛ r t r a k	H V N T V R S P V R T R V K
Händeringen	h ɛ n d ə r ɪ ŋ ə n	H V N T V R V N V N
händeringend	h ɛ n d ə r ɪ ŋ ə n t	H V N T V R V N V N T
Händewaschen	h ɛ n d ə v a ʃ ə n	H V N T V W V S V N
handfest	h a n t f ɛ s t	H V N T P V S T
Handgebrauch	h a n t g ə b r au x	H V N T K V P R V K
Handgelenk	h a n t g ə l ɛ ŋ k	H V N T K V R V N K
Handgemenge	h a n t g ə m ɛ ŋ ə	H V N T K V M V N V
Handgepäck	h a n t g ə p ɛ k	H V N T K V P V K
handgeschrieben	h a n t g ə ʃ r i b ə n	H V N T K V S R V P V N
handgestrickt	h a n t g ə ʃ t r ɪ k t	H V N T K V S T R V K T
handgewebt	h a n t g ə v e p t	H V N T K V W V P T
Handgranate	h a n t g r a n a t ə	H V N T K R V N V T V
handgreiflich	h a n t g r ai f l ɪ x	H V N T K R V P R V K
Handgreiflichkeit	h a n t g r ai f l ɪ x k ai t	H V N T K R V P R V K K V T
Handgriff	h a n t g r ɪ f	H V N T K R V P
handhaben	h a n t h a b ə n	H V N T H V P V N
handhabbar	h a n t h a p b a r	H V N T H V P P V R
Handhabung	h a n t h a b ʊ ŋ	H V N T H V P V N
Handicap	h ɛ n d i k ɛ p	H V N T V K V P
handikapen	h ɛ n d i k ɛ p ə n	H V N T V K V P V N
Handikap	h ɛ n d i k ɛ p	H V N T V K V P
Handkoffer	h a n t k ɔ f ə r	H V N T K V P V R
Handkuss	h a n t k ʊ s	H V N T K V S
handlangern	h a n t l a ŋ ə r n	H V N T R V N V R N
Handlanger	h a n t l a ŋ ə r	H V N T R V N V R
Händler	h ɛ n d l ə r	H V N T R V R
handlich	h a n t l ɪ x	H V N T R V K
Handlichkeit	h a n t l ɪ x k ai t	H V N T R V K K V T
Handlung	h a n d l ʊ ŋ	H V N T R V N
handlungsfähig	h a n d l ʊ ŋ s f æ ɪ x	H V N T R V N S P V V K
Handlungsform	h a n d l ʊ ŋ s f ɔ r m	H V N T R V N S P V R M
Handlungsfreiheit	h a n d l ʊ ŋ s f r ai h ai t	H V N T R V N S P R V H V T
handlungsorientiert	h a n d l ʊ ŋ s o r i ɛ n t i r t	H V N T R V N S V R V V N T V R T
Handlungsweise	h a n d l ʊ ŋ s v ai z ə	H V N T R V N S W V S V
Handreichung	h a n t r ai x ʊ ŋ	H V N T R V K V N
Handschrift	h a n t ʃ r ɪ f t	H V N T S R V P T
handschriftlich	h a n t ʃ r ɪ f t l ɪ x	H V N T S R V P T R V K
Handschuh	h a n t ʃ u	H V N T S V
Handtasche	h a n t t a ʃ ə	H V N T T V S V
Handtuch	h a n t t u x	H V N T T V K
Handumdrehen	h a n t ʊ m d r e ə n	H V N T V M T R V V N
Handvoll	h a n t f ɔ l	H V N T P V R
Handwerk	h a n t v ɛ r k	H V N T W V R K
Handwerker	h a n t v ɛ r k ə r	H V N T W V R K V R
Handwerkerstand	h a n t v ɛ r k ə r ʃ t a n t	H V N T W V R K V R S T V N T
handwerklich	h a n t v ɛ r k l ɪ x	H V N T W V R K R V K
Handwerksbetrieb	h a n t v ɛ r k s b ə t r i p	H V N T W V R K S P V T R V P
Handwerkszeug	h a n t v ɛ r k s ts χ k	H V N T W V R K S K K K
Hanf	h a n f	H V N P
Hanfgarn	h a n f g a r n	H V N P K V R N
hängen	h ɛ ŋ ə n	H V N V N
hängen	h ɛ ŋ ə n	H V N V N
Hang	h a ŋ	H V N
hangabwärts	h a ŋ a p v ɛ r ts	H V N V P W V R K
Hangar	h a ŋ g a r	H V N K V R
Hängebauch	h ɛ ŋ ə b au x	H V N V P V K
Hängematte	h ɛ ŋ ə m a t ə	H V N V M V T V
hängenbleiben	h ɛ ŋ ə n b l ai b ə n	H V N V N P R V P V N
hängenlassen	h ɛ ŋ ə n l a s ə n	H V N V N R V S V N
Hänger	h ɛ ŋ ə r	H V N V R
Hängeschrank	h ɛ ŋ ə ʃ r a ŋ k	H V N V S R V N K
Hans	h a n s	H V N S
Hanse	h a n z ə	H V N S V
hanseatisch	h a n z e a t ɪ ʃ	H V N S V V T V S
