HEADWORD	IPA	SOUND_CLASSES
Abendkursus	a b ə n t k ʊ r z ʊ s	V P V N T K V R S V S
Abendland	a b ə n t l a n t	V P V N T R V N T
Abendländer	a b ə n t l ɛ n d ə r	V P V N T R V N T V R
abendländisch	a b ə n t l ɛ n d ɪ ʃ	V P V N T R V N T V S
abendlich	a b ə n t l ɪ x	V P V N T R V K
Abendmahl	a b ə n t m a l	V P V N T M V R
Abendprogramm	a b ə n t p r o g r a m	V P V N T P R V K R V M
Abendrot	a b ə n t r o t	V P V N T R V T
Abendröte	a b ə n t r ɶː t ə	V P V N T R V T V
abends	a b ə n ts	V P V N K
abenteürn	a b ə n t χ ə r n	V P V N T K V R N
Abenteür	a b ə n t χ ə r	V P V N T K V R
Abenteürin	a b ə n t χ ə r ɪ n	V P V N T K V R V N
abenteürlich	a b ə n t χ ə r l ɪ x	V P V N T K V R R V K
Abenteürlust	a b ə n t χ ə r l ʊ s t	V P V N T K V R R V S T
Abenteurer	a b ə n t χ r ə r	V P V N T K R V R
Abenteurerin	a b ə n t χ r ə r ɪ n	V P V N T K R V R V N
aber	a b ə r	V P V R
aber	a b ə r	V P V R
Aberglaube	a b ə r g l au b ə	V P V R K R V P V
Aberglauben	a b ə r g l au b ə n	V P V R K R V P V N
abergläubig	a b ə r g l χ b ɪ x	V P V R K R K P V K
abergläubisch	a b ə r g l χ b ɪ ʃ	V P V R K R K P V S
aberhundert	a b ə r h ʊ n d ə r t	V P V R H V N T V R T
aberkennen	a p ɛ r k ɛ n ə n	V P V R K V N V N
Aberkennung	a p ɛ r k ɛ n ʊ ŋ	V P V R K V N V N
abermalig	a b ə r m a l ɪ x	V P V R M V R V K
abermals	a b ə r m a l s	V P V R M V R S
Aberration	a p ɛ r a ts i o n	V P V R V K V V N
abertausend	a b ə r t au z ə n t	V P V R T V S V N T
Aberwitz	a b ə r v ɪ ts	V P V R W V K
aberwitzig	a b ə r v ɪ ts ɪ x	V P V R W V K V K
abessen	a p ɛ s ə n	V P V S V N
abessinisch	a b ɛ s i n ɪ ʃ	V P V S V N V S
abfackeln	a p f a k ə l n	V P P V K V R N
abfädeln	a p f æ d ə l n	V P P V T V R N
abfahren	a p f a r ə n	V P P V R V N
Abfahrt	a p f a r t	V P P V R T
Abfahrtszeit	a p f a r ts ts ai t	V P P V R K K V T
abfallen	a p f a l ə n	V P P V R V N
Abfall	a p f a l	V P P V R
Abfalleimer	a p f a l ai m ə r	V P P V R V M V R
abfällig	a p f ɛ l ɪ x	V P P V R V K
Abfallprodukt	a p f a l p r o d ʊ k t	V P P V R P R V T V K T
abfälschen	a p f ɛ l ʃ ə n	V P P V R S V N
abfangen	a p f a ŋ ə n	V P P V N V N
abfärben	a p f ɛ r b ə n	V P P V R P V N
abfasen	a p f a z ə n	V P P V S V N
abfassen	a p f a s ə n	V P P V S V N
Abfassung	a p f a s ʊ ŋ	V P P V S V N
abfaulen	a p f au l ə n	V P P V R V N
abfedern	a p f e d ə r n	V P P V T V R N
abfeilen	a p f ai l ə n	V P P V R V N
abfertigen	a p f ɛ r t ɪ g ə n	V P P V R T V K V N
Abfertigung	a p f ɛ r t ɪ g ʊ ŋ	V P P V R T V K V N
abfeürn	a p f χ ə r n	V P P K V R N
abfieren	a p f i r ə n	V P P V R V N
abfinden	a p f ɪ n d ə n	V P P V N T V N
Abfindung	a p f ɪ n d ʊ ŋ	V P P V N T V N
Abfindungssumme	a p f ɪ n d ʊ ŋ s z ʊ m ə	V P P V N T V N S S V M V
abflachen	a p f l a x ə n	V P P R V K V N
abflaün	a p f l au ə n	V P P R V V N
abfliegen	a p f l i g ə n	V P P R V K V N
abfliessen	a p f l i s ə n	V P P R V S V N
Abflug	a p f l u k	V P P R V K
Abfluss	a p f l ʊ s	V P P R V S
Abflusshahn	a p f l ʊ s h a n	V P P R V S H V N
Abfolge	a p f ɔ l g ə	V P P V R K V
abfotografieren	a p f o t o g r a f i r ə n	V P P V T V K R V P V R V N
abfragen	a p f r a g ə n	V P P R V K V N
abfressen	a p f r ɛ s ə n	V P P R V S V N
abfretten	a p f r ɛ t ə n	V P P R V T V N
abfrieren	a p f r i r ə n	V P P R V R V N
abfrottieren	a p f r ɔ t i r ə n	V P P R V T V R V N
abfühlen	a p f y l ə n	V P P V R V N
abführen	a p f y r ə n	V P P V R V N
Abfuhr	a p f u r	V P P V R
Abführmittel	a p f y r m ɪ t ə l	V P P V R M V T V R
Abführung	a p f y r ʊ ŋ	V P P V R V N
abfüllen	a p f ʏ l ə n	V P P V R V N
abfüttern	a p f ʏ t ə r n	V P P V T V R N
Abfütterung	a p f ʏ t ə r ʊ ŋ	V P P V T V R V N
Abgabe	a p g a b ə	V P K V P V
abgabenfrei	a p g a b ə n f r ai	V P K V P V N P R V
abgabenpflichtig	a p g a b ə n pf l ɪ x t ɪ x	V P K V P V N P R V K T V K
Abgabesoll	a p g a b ə z ɔ l	V P K V P V S V R
Abgang	a p g a ŋ	V P K V N
Abgänger	a p g ɛ ŋ ə r	V P K V N V R
abgängig	a p g ɛ ŋ ɪ x	V P K V N V K
Abgangszeugnis	a p g a ŋ s ts χ k n ɪ s	V P K V N S K K K N V S
Abgas	a p g a s	V P K V S
abgasfrei	a p g a s f r ai	V P K V S P R V
abgeben	a p g e b ə n	V P K V P V N
abgeblasst	a p g ə b l a s t	V P K V P R V S T
abgebrannt	a p g ə b r a n t	V P K V P R V N T
abgebrüht	a p g ə b r y t	V P K V P R V T
abgedroschen	a p g ə d r ɔ ʃ ə n	V P K V T R V S V N
abgefeimt	a p g ə f ai m t	V P K V P V M T
Abgefeimtheit	a p g ə f ai m t h ai t	V P K V P V M T H V T
abgegriffen	a p g ə g r ɪ f ə n	V P K V K R V P V N
abgehen	a p g e ə n	V P K V V N
abgehackt	a p g ə h a k t	V P K V H V K T
abgekämpft	a p g ə k ɛ m pf t	V P K V K V M P T
abgekartet	a p g ə k a r t ə t	V P K V K V R T V T
abgeklärt	a p g ə k l ɛ r t	V P K V K R V R T
Abgeklärtheit	a p g ə k l ɛ r t h ai t	V P K V K R V R T H V T
Abgeld	a p g ɛ l t	V P K V R T
abgelebt	a p g ə l e p t	V P K V R V P T
abgeledert	a p g ə l e d ə r t	V P K V R V T V R T
abgelegen	a p g ə l e g ə n	V P K V R V K V N
abgeleiert	a p g ə l ai ə r t	V P K V R V V R T
abgelten	a p g ɛ l t ə n	V P K V R T V N
Abgeltung	a p g ɛ l t ʊ ŋ	V P K V R T V N
abgemacht	a p g ə m a x t	V P K V M V K T
abgemessen	a p g ə m ɛ s ə n	V P K V M V S V N
abgeneigt	a p g ə n ai k t	V P K V N V K T
abgenutzt	a p g ə n ʊ ts t	V P K V N V K T
abgeordnet	a p g ə ɔ r d n ə t	V P K V V R T N V T
Abgeordnete	a p g ə ɔ r d n ə t ə	V P K V V R T N V T V
Abgeordnetenhaus	a p g ə ɔ r d n ə t ə n h au s	V P K V V R T N V T V N H V S
abgerissen	a p g ə r ɪ s ə n	V P K V R V S V N
abgerundet	a p g ə r ʊ n d ə t	V P K V R V N T V T
abgesagt	a p g ə z a k t	V P K V S V K T
Abgesandte	a p g ə z a n t ə	V P K V S V N T V
Abgesang	a p g ə z a ŋ	V P K V S V N
abgeschabt	a p g ə ʃ a p t	V P K V S V P T
abgeschieden	a p g ə ʃ i d ə n	V P K V S V T V N
Abgeschiedenheit	a p g ə ʃ i d ə n h ai t	V P K V S V T V N H V T
abgeschlagen	a p g ə ʃ l a g ə n	V P K V S R V K V N
abgeschlossen	a p g ə ʃ l ɔ s ə n	V P K V S R V S V N
abgeschmackt	a p g ə ʃ m a k t	V P K V S M V K T
Abgeschmacktheit	a p g ə ʃ m a k t h ai t	V P K V S M V K T H V T
abgesehen	a p g ə z e ə n	V P K V S V V N
abgesondert	a p g ə z ɔ n d ə r t	V P K V S V N T V R T
abgespannt	a p g ə ʃ p a n t	V P K V S P V N T
abgespielt	a p g ə ʃ p i l t	V P K V S P V R T
abgestanden	a p g ə ʃ t a n d ə n	V P K V S T V N T V N
