Concept	Dutch_Entry	German_Entry	Dutch_Tokens	German_Tokens	Dutch_Sound_Classes	German_Sound_Classes	Cognacy
middle, center	midden	Mitte	m ɪ d ə	m ɪ t ə	M V T V	M V T V	1
middle, center	midden	Zentrum	m ɪ d ə	ts ɛ n t r ʊ m	M V T V	K V N T R V M	0
milk (noun)	melk	Milch	m ɛ l k	m ɪ l x	M V R K	M V R K	1
moon	maan	Mond	m aː n	m oː n t	M V N	M V N T	1
more	meer	mehr	m eː r	m eː r	M V R	M V R	1
mosquito	muskiet	Stechmücke	m ʉ s k iː t	ʃ t ɛ x + m ʏ k ə	M V S K V T	S T V K + M V K V	0
mosquito	muskiet	Moskito	m ʉ s k iː t	m ɔ s k iː t oː	M V S K V T	M V S K V T V	1
mother	moeder	Mutter	m uː d ə r	m ʊ t ə r	M V T V R	M V T V R	1
mother-in-law (of a man)	schoonmoeder	Schwiegermutter	s x oː n + m uː d ə r	ʃ v iː ɡ ə r + m ʊ t ə r	S K V N + M V T V R	S W V K V R + M V T V R	1
mountain, hill	berg	Berg	b ɛ r x	b ɛ r k	P V R K	P V R K	1
mountain, hill	berg	Hügel	b ɛ r x	h yː ɡ ə l	P V R K	H V K V R	0
mountain, hill	heuvel	Berg	h øː v ə l	b ɛ r k	H V W V R	P V R K	0
mountain, hill	heuvel	Hügel	h øː v ə l	h yː ɡ ə l	H V W V R	H V K V R	1
mouse, rat	muis	Maus	m œy s	m au s	M V S	M V S	1
mouse, rat	rat	Maus	r ɑ t	m au s	R V T	M V S	0
mouth	mond	Mund	m ɔ n t	m ʊ n t	M V N T	M V N T	1
much, many	veel	viel	v eː l	f iː l	W V R	P V R	1
mucus (nasal)	snot	Schleim	s n ɔ t	ʃ l ai m	S N V T	S R V M	0
mud	modder	Schlamm	m ɔ d ə r	ʃ l a m	M V T V R	S R V M	0
mud	modder	Dreck	m ɔ d ə r	d r ɛ k	M V T V R	T R V K	0
mule	muilezel	Maultier	m œy l + eː z ə l	m au l + t iː r	M V R + V S V R	M V R + T V R	1
mule	muilezel	Maulesel	m œy l + eː z ə l	m au l + eː z ə l	M V R + V S V R	M V R + V S V R	1
mule	muildier	Maultier	m œy l + d iː r	m au l + t iː r	M V R + T V R	M V R + T V R	1
mule	muildier	Maulesel	m œy l + d iː r	m au l + eː z ə l	M V R + T V R	M V R + V S V R	1
multitude, crowd	menigte	Menge	m eː n ə x t ə	m ɛ ŋ ə	M V N V K T V	M V N V	1
nail	nagel	Nagel	n aː ɣ ə l	n aː ɡ ə l	N V K V R	N V K V R	1
nail	spijker	Nagel	s p ɛɪ k ə r	n aː ɡ ə l	S P V K V R	N V K V R	0
naked, bare	naakt	nackt	n aː k t	n a k t	N V K T	N V K T	1
nape of neck	nek	Nacken	n ɛ k	n a k ə n	N V K	N V K V N	1
nape of neck	nek	Genick	n ɛ k	ɡ ə + n iː k	N V K	K V + N V K	1
narrow	nauw	schmal	n ɑu w	ʃ m aː l	N V W	S M V R	0
navel	navel	Nabel	n aː v ə l	n aː b ə l	N V W V R	N V P V R	1
near (adv)	dichtbij	nahe	d ɪ ɣ d + b ɛɪ	n aː ə	T V K T + P V	N V V	0
near (adv)	dichtbij	nah	d ɪ ɣ d + b ɛɪ	n aː	T V K T + P V	N V	0
neck	hals	Hals	h ɑ l s	h a l s	H V R S	H V R S	1
necklace	ketting	Halsband	k ɛ t ɪ ŋ	h a l s + b a n t	K V T V N	H V R S + P V N T	0
needle	naald	Nadel	n aː l t	n aː d ə l	N V R T	N V T V R	1
nephew	neef	Neffe	n eː f	n ɛ f ə	N V P	N V P V	1
nest	nest	Nest	n ɛ s t	n ɛ s t	N V S T	N V S T	1
nettle	netel	Nessel	n eː t ə l	n ɛ s ə l	N V T V R	N V S V R	1
new	nieuw	neu	n iː w	n ɔy	N V W	N V	1
niece	nicht	Nichte	n ɪ x t	n ɪ x t ə	N V K T	N V K T V	1
nit (louse egg)	neet	Nisse	n eː t	n ɪ s ə	N V T	N V S V	1
nose	neus	Nase	n øː s	n aː z ə	N V S	N V S V	1
nostril	neusvleugel	Nasenloch	n øː s + f l øː ɣ ə l	n aː z ə n + l ɔ x	N V S + P R V K V R	N V S V N + R V K	1
nut	noot	Nuss	n oː t	n ʊ s	N V T	N V S	1
oar	riem	Ruder	r iː m	r uː d ə r	R V M	R V T V R	0
oats	haver	Hafer	h aː v ə r	h aː f ə r	H V W V R	H V P V R	1
ocean	oceaan	Weltmeer	oː s eː j aː n	v ɛ l t + m eː r	V S V J V N	W V R T + M V R	0
