Concept	Dutch_Entry	German_Entry	Dutch_Tokens	German_Tokens	Dutch_Sound_Classes	German_Sound_Classes	Cognacy
stone, rock	rots	Stein	r ɔ ts	ʃ t ai n	R V K	S T V N	0
stone, rock	rots	Fels	r ɔ ts	f ɛ l s	R V K	P V R S	0
stone, rock	steen	Stein	s t eː n	ʃ t ai n	S T V N	S T V N	1
stone, rock	steen	Fels	s t eː n	f ɛ l s	S T V N	P V R S	0
storm	storm	Sturm	s t ɔ r m	ʃ t ʊ r m	S T V R M	S T V R M	1
stove	kachel	Ofen	k ɑ x ə l	oː f ə n	K V K V R	V P V N	0
stretch	uitrekken	strecken	œy t + r ɛ k ə	ʃ t r ɛ k ə n	V T + R V K V	S T R V K V N	1
strike (hit, beat)	slaan	schlagen	s l aː n	ʃ l aː ɡ ə n	S R V N	S R V K V N	1
strong, mighty, powerful	sterk	stark	s t ɛ r k	ʃ t a r k	S T V R K	S T V R K	1
strong, mighty, powerful	sterk	mächtig	s t ɛ r k	m ɛ x t ɪ x	S T V R K	M V K T V K	0
suck	zuigen	saugen	z œy ɣ ə	z au ɡ ə n	S V K V	S V K V N	1
sun	zon	Sonne	z ɔ n	z ɔ n ə	S V N	S V N V	1
supper	avondeten	Abendessen	aː v ɔ n d + eː t ə	aː b ə n t + ɛ s ə n	V W V N T + V T V	V P V N T + V S V N	1
supper	avondeten	Abendbrot	aː v ɔ n d + eː t ə	aː b ə n t + b r oː t	V W V N T + V T V	V P V N T + P R V T	0
swallow	doorslikken	schlucken	d oː r s + l ɪ k ə	ʃ l ʊ k ə n	T V R S + R V K V	S R V K V N	1
swamp	moeras	Sumpf	m uː r ɑ s	z ʊ m pf	M V R V S	S V M P	0
swamp	moeras	Morast	m uː r ɑ s	m oː r a s t	M V R V S	M V R V S T	1
swelling	zwelling	Schwellung	z w ɛ l ɪ ŋ	ʃ v ɛ l ʊ ŋ	S W V R V N	S W V R V N	1
swim	zwemmen	schwimmen	z w ɛ m ə	ʃ v ɪ m ə n	S W V M V	S W V M V N	1
tail	staart	Schwanz	s t aː r t	ʃ v a n ts	S T V R T	S W V N K	0
tailor	kleermaker	Schneider	k l eː r + m aː k ə r	ʃ n ai d ə r	K R V R + M V K V R	S N V T V R	0
take	nemen	nehmen	n eː m ə	n eː m ə n	N V M V	N V M V N	1
tear	scheuren	reissen	s x øː r ə	r ai s ə n	S K V R V	R V S V N	0
tent	tent	Zelt	t ɛ n t	ts ɛ l t	T V N T	K V R T	0
they	zij	sie	z ɛɪ	z iː	S V	S V	1
thick (in dimension)	dik	dick	d ɪ k	d ɪ k	T V K	T V K	1
thigh	dij	Oberschenkel	d ɛɪ	oː b ə r + ʃ ɛ ŋ k ə l	T V	V P V R + S V N K V R	0
thigh	dij	Schenkel	d ɛɪ	ʃ ɛ ŋ k ə l	T V	S V N K V R	0
thin (in dimension)	dun	dünn	d ʉ n	d ʏ n	T V N	T V N	1
thing	ding	Sache	d ɪ ŋ	z a x ə	T V N	S V K V	0
thing	ding	Ding	d ɪ ŋ	d ɪ ŋ	T V N	T V N	1
third	derde	Dritte	d ɛ r d ə	d r ɪ t ə	T V R T V	T R V T V	1
thousand	duizend	tausend	d œy z ə n t	t au z ə n t	T V S V N T	T V S V N T	1
throw	werpen	werfen	w ɛ r p ə	v ɛ r f ə n	W V R P V	W V R P V N	1
thunder	donder	Donner	d ɔ n d ə r	d ɔ n ə r	T V N T V R	T V N V R	1
tie, bind	binden	binden	b ɪ n d ə	b ɪ n d ə n	P V N T V	P V N T V N	1
time	tijd	zeit	t ɛɪ t	ts ai t	T V T	K V T	1
tin, tinplate	tin	Zinn	t ɪ n	ts ɪ n	T V N	K V N	1
tin, tinplate	tin	Blech	t ɪ n	b l ɛ x	T V N	P R V K	0
tired, weary	moe	müde	m uː	m yː d ə	M V	M V T V	1
toe	teen	Zehe	t eː n	ts eː ə	T V N	K V V	1
tongs	tang	Zange	t ɑ ŋ	ts a ŋ ə	T V N	K V N V	1
tongue	tong	Zunge	t ɔ ŋ	ts ʊ ŋ ə	T V N	K V N V	1
tool	gereedschap	Werkzeug	x ə r eː t + s x ɑ p	v ɛ r k + ts ɔy k	K V R V T + S K V P	W V R K + K V K	0
tool	werktuig	Werkzeug	w ɛ r k + t œy x	v ɛ r k + ts ɔy k	W V R K + T V K	W V R K + K V K	1
top	top	Spitze	t ɔ p	ʃ p ɪ ts ə	T V P	S P V K V	0
tree	boom	Baum	b oː m	b au m	P V M	P V M	1
trough	trog	Trog	t r ɔ x	t r oː k	T R V K	T R V K	1
turn over	omdraaien	umdrehen	ɔ m + d r aː j ə	ʊ m + d r eː ə n	V M + T R V J V	V M + T R V V N	1
twelve	twaalf	zwölf	t w aː l f	ts v œ l f	T W V R P	K W V R P	1
twist	draaien	drehen	d r aː j ə	d r eː ə n	T R V J V	T R V V N	1
twist	draaien	flechten	d r aː j ə	f l ɛ x t ə n	T R V J V	P R V K T V N	0
uncle	oom	Onkel	oː m	ɔ ŋ k ə l	V M	V N K V R	0
valley	vallei	Tal	v ɑ l ɛɪ	t aː l	W V R V	T V R	0
valley	dal	Tal	d ɑ l	t aː l	T V R	T V R	1
veil	sluier	Schleier	s l œy j ə r	ʃ l ai ə r	S R V J V R	S R V V R	1
vein, artery	bloedvat	Ader	b l uː t f ɑ t	aː d ə r	P R V T P V T	V T V R	0
vein, artery	ader	Ader	aː d ə r	aː d ə r	V T V R	V T V R	1
vine	win#gerd	Weinstock	w ɪ ŋ ə r t	v ai n + ʃ t ɔ k	W V N V R T	W V N + S T V K	1
vomit	braken	erbrechen	b r aː k ə	ɛ r + b r ɛ x ə n	P R V K V	V R + P R V K V N	1
vomit	braken	kotzen	b r aː k ə	k ɔ ts ə n	P R V K V	K V K V N	0
vulture	gier	Geier	x iː r	ɡ ai ə r	K V R	K V V R	1
wages	loon	Lohn	l oː n	l oː n	R V N	R V N	1
wages	loon	Bezahlung	l oː n	b ə + ts aː l ʊ ŋ	R V N	P V + K V R V N	0
wages	salaris	Lohn	s aː l aː r ə s	l oː n	S V R V R V S	R V N	0
wages	salaris	Bezahlung	s aː l aː r ə s	b ə + ts aː l ʊ ŋ	S V R V R V S	P V + K V R V N	0
waist	middel	Taille	m ɪ d ə l	t a l j ə	M V T V R	T V R J V	0
wash	wassen	waschen	w ɑ s ə	v a ʃ ə n	W V S V	W V S V N	1
wasp	wesp	Wespe	w ɛ s p	v ɛ s p ə	W V S P	W V S P V	1
water	water	Wasser	w aː t ə r	v a s ə r	W V T V R	W V S V R	1
wave	golf	Welle	x ɔ l f	v ɛ l ə	K V R P	W V R V	0
wave	golf	Woge	x ɔ l f	v oː ɡ ə	K V R P	W V K V	0
we	wij	wir	w ɛɪ	v iː r	W V	W V R	1
weak	zwak	schwach	z w ɑ k	ʃ v a x	S W V K	S W V K	1
weather	weer	Wetter	w eː r	v ɛ t ə r	W V R	W V T V R	1
weave	weven	weben	w eː v ə	v eː b ə n	W V W V	W V P V N	1
weave, plait	vlechten	flechten	v l ɛ x t ə	f l ɛ x t ə n	W R V K T V	P R V K T V N	1
weigh	wegen	wiegen	w eː ɣ ə	v iː ɡ ə n	W V K V	W V K V N	1
well, health	gezond	gesund	x ə + z ɔ n t	ɡ ə + z ʊ n t	K V + S V N T	K V + S V N T	1
west	westen	Westen	w ɛ s t ə	v ɛ s t ə n	W V S T V	W V S T V N	1
whale	walvis	Wal	w ɑ l v ɪ s	v aː l	W V R W V S	W V R	1
wheel	wiel	Rad	w iː l	r aː t	W V R	R V T	0
whirlpool	draaikolk	Strudel	d r aː j k ɔ l k	ʃ t r uː d ə l	T R V J K V R K	S T R V T V R	0
whirlpool	draaikolk	Wirbel	d r aː j k ɔ l k	v ɪ r b ə l	T R V J K V R K	W V R P V R	0
wide, broad	breed	breit	b r eː t	b r ai t	P R V T	P R V T	1
wide, broad	wijd	breit	w ɛɪ t	b r ai t	W V T	P R V T	0
widower	weduwnaar	Witwer	w eː d yː w n + aː r	v ɪ t v ə r	W V T V W N + V R	W V T W V R	1
wife	echtgenote	Frau	ɛ x t + x ə n oː t ə	f r au	V K T + K V N V T V	P R V	0
wife	echtgenote	Gattin	ɛ x t + x ə n oː t ə	ɡ a t ɪ n	V K T + K V N V T V	K V T V N	0
wife	echtgenote	Gemahlin	ɛ x t + x ə n oː t ə	ɡ ə + m aː l ɪ n	V K T + K V N V T V	K V + M V R V N	0
wife	vrouw	Frau	v r ɑu w	f r au	W R V W	P R V	1
wife	vrouw	Gattin	v r ɑu w	ɡ a t ɪ n	W R V W	K V T V N	0
wife	vrouw	Gemahlin	v r ɑu w	ɡ ə + m aː l ɪ n	W R V W	K V + M V R V N	0
wind	wind	Wind	w ɪ n t	v ɪ n t	W V N T	W V N T	1
wind, wrap	wikkelen	wickeln	w ɪ k ə l ə	v ɪ k ə l n	W V K V R V	W V K V R N	1
wing	vleugel	Flügel	v l øː ɣ ə l	f l yː ɡ ə l	W R V K V R	P R V K V R	1
wolf	wolf	Wolf	w ɔ l f	v ɔ l f	W V R P	W V R P	1
woman	vrouw	Frau	v r ɑu w	f r au	W R V W	P R V	1
woman	vrouw	Weib	v r ɑu w	v ai p	W R V W	W V P	0
womb	baarmoeder	Gebärmutter	b aː r + m uː d ə r	ɡ ə + b ɛː r + m ʊ t ə r	P V R + M V T V R	K V + P V R + M V T V R	1
wood	hout	Holz	h ɑu t	h ɔ l ts	H V T	H V R K	1
woods, forest	bos	Wald	b ɔ s	v a l t	P V S	W V R T	0
woods, forest	woud	Wald	w ɑu t	v a l t	W V T	W V R T	1
wool	wol	Wolle	w ɔ l	v ɔ l ə	W V R	W V R V	1
work	werk	arbeiten	w ɛ r k	a r b ai t ə n	W V R K	V R P V T V N	0
world	wereld	Welt	w eː r ə l t	v ɛ l t	W V R V R T	W V R T	1
wound, sore	wond	Wunde	w ɔ n t	v ʊ n d ə	W V N T	W V N T V	1
wrist	pols	Handgelenk	p ɔ l s	h a n t + ɡ ə l ɛ ŋ k	P V R S	H V N T + K V R V N K	0
yard, court	hof	Hof	h ɔ f	h oː f	H V P	H V P	1
yawn, gape	geeuwen	gaffen	x eː w ə	ɡ a f ə n	K V W V	K V P V N	1
yoke	juk	Joch	j ʉ k	j ɔ x	J V K	J V K	1
you (plural)	jullie	ihr	j ʉ l iː	iː r	J V R V	V R	0
you (plural)	jullie	Sie	j ʉ l iː	z iː	J V R V	S V	0
you (singular)	jij	du	j ɛɪ	d uː	J V	T V	0
you (singular)	jij	Sie	j ɛɪ	z iː	J V	S V	0
