Headword	German_IPA	German_Sound_Classes
schaf	ʃ aː f	S V P
senden	z ɛ n d ə n	S V N T V N
ruck	r ʊ k	R V K
zaum	ts au m	K V M
verlieren	f ɛ r l iː r ə n	P V R R V R V N
stillen	ʃ t ɪ l ə n	S T V R V N
scheinen	ʃ ai n ə n	S V N V N
stab	ʃ t aː p	S T V P
flut	f l uː t	P R V T
stein	ʃ t ai n	S T V N
bogen	b oː ɡ ə n	P V K V N
scheren	ʃ eː r ə n	S V R V N
backen	b a k ə n	P V K V N
leiste	l ai s t ə	R V S T V
schieben	ʃ iː b ə n	S V P V N
helfen	h ɛ l f ə n	H V R P V N
bitten	b ɪ t ə n	P V T V N
machen	m a x ə n	M V K V N
roggen	r ɔ ɡ ə n	R V K V N
wolle	v ɔ l ə	W V R V
see	z eː	S V
wiesel	v iː z ə l	W V S V R
spreiten	ʃ p r ai t ə n	S P R V T V N
kraft	k r a f t	K R V P T
herd	h eː r t	H V R T
tau	t au	T V
wolf	v ɔ l f	W V R P
herbst	h ɛ r p s t	H V R P S T
nacht	n a x t	N V K T
lappen	l a p ə n	R V P V N
welt	v ɛ l t	W V R T
werfen	v ɛ r f ə n	W V R P V N
singen	z ɪ ŋ ə n	S V N V N
macht	m a x t	M V K T
nagel	n aː ɡ ə l	N V K V R
tun	t uː n	T V N
feuer	f ɔy ə r	P V V R
zeichen	ts ai x ə n	K V K V N
lecken	l ɛ k ə n	R V K V N
sengen	z ɛ ŋ ə n	S V N V N
gast	ɡ a s t	K V S T
mutter	m ʊ t ə r	M V T V R
stamm	ʃ t a m	S T V M
bast	b a s t	P V S T
lid	l iː t	R V T
raten	r aː t ə n	R V T V N
bringen	b r ɪ ŋ ə n	P R V N V N
sondern	z ɔ n d ə r n	S V N T V R N
dorn	d ɔ r n	T V R N
wollen	v ɔ l ə n	W V R V N
schlafen	ʃ l aː f ə n	S R V P V N
ruder	r uː d ə r	R V T V R
zunge	ts ʊ ŋ ə	K V N V
kamm	k a m	K V M
treten	t r eː t ə n	T R V T V N
balg	b a l k	P V R K
freund	f r ɔy n t	P R V N T
finger	f ɪ ŋ ə r	P V N V R
mast	m a s t	M V S T
distel	d ɪ s t ə l	T V S T V R
zehe	ts eː ə	K V V
linde	l ɪ n d ə	R V N T V
nase	n aː z ə	N V S V
reh	r eː	R V
zaun	ts au n	K V N
leiten	l ai t ə n	R V T V N
sieb	z iː p	S V P
bersten	b ɛ r s t ə n	P V R S T V N
sonne	z ɔ n ə	S V N V
finden	f ɪ n d ə n	P V N T V N
werft	v ɛ r f t	W V R P T
brust	b r ʊ s t	P R V S T
halle	h a l ə	H V R V
weile	v ai l ə	W V R V
habicht	h aː b ɪ x t	H V P V K T
fell	f ɛ l	P V R
flachs	f l a k s	P R V K S
schmieren	ʃ m iː r ə n	S M V R V N
setzen	z ɛ ts ə n	S V K V N
laus	l au s	R V S
faust	f au s t	P V S T
vogel	f oː ɡ ə l	P V K V R
kneten	k n eː t ə n	K N V T V N
biber	b iː b ə r	P V P V R
schaft	ʃ a f t	S V P T
sommer	z ɔ m ə r	S V M V R
gott	ɡ ɔ t	K V T
weg	v eː k	W V K
folgen	f ɔ l ɡ ə n	P V R K V N
huf	h uː f	H V P
stuhl	ʃ t uː l	S T V R
stock	ʃ t ɔ k	S T V K
schleim	ʃ l ai m	S R V M
mann	m a n	M V N
weben	v eː b ə n	W V P V N
