Headword	Dutch_IPA	Dutch_Sound_Classes
wijf	ʋ ɛɪ f	W V P
koren	k oː r	K V R
heem	h eː m	H V M
drinken	d r ɪ ŋ k ə	T R V N K V
boezem	b uː z ə m	P V S V M
staart	s t aː r t	S T V R T
bok	b ɔ k	P V K
mark	m ɑ r k	M V R K
dove	d oː v ə	T V W V
dorst	d ɔ r s t	T V R S T
spoor	s p oː r	S P V R
menen	m eː n ə	M V N V
naam	n aː m	N V M
aarde	aː r d ə	V R T V
houwen	h ɑu ə	H V V
grond	x r ɔ n t	K R V N T
zoeken	z uː k ə	S V K V
hart	h ɑ r t	H V R T
vee	v eː	W V
lijm	l ɛɪ m	R V M
naald	n aː l	N V R
nachtmerrie	m ɛ r	M V R
graven	x r aː v ə	K R V W V
zaak	z aː k	S V K
vechten	v ɛ x t ə	W V K T V
rijden	r ɛɪ d ə	R V T V
zeven	z eː v ə	S V W V
spil	s p ɪ l	S P V R
raaf	r aː f	R V P
helen	h eː l ə	H V R V
kalf	k ɑ l f	K V R P
weduwe	ʋ eː d yː ʋ ə	W V T V W V
gang	x ɑ ŋ	K V N
varen	v aː r ə	W V R V
zwaard	z ʋ aː r t	S W V R T
lever	l eː v ə r	R V W V R
wil	ʋ ɪ l	W V R
berg	b ɛ r x	P V R K
drie	d r iː	T R V
woord	ʋ oː r t	W V R T
maal	m aː l	M V R
grijpen	x r ɛɪ p ə	K R V P V
vallen	v ɑ l ə	W V R V
hoofd	h oː f t	H V P T
leed	l eː t	R V T
bes	b ɛ s	P V S
geloven	l oː v ə	R V W V
winter	ʋ ɪ n t ə r	W V N T V R
bruid	b r œy t	P R V T
spinnen	s p ɪ n ə	S P V N V
schild	s ɪ l t	S V R T
bal	b ɑ l	P V R
nest	n ɛ s t	N V S T
sterven	s t ɛ r v ə	S T V R W V
negen	n eː	N V
tap	t ɑ p	T V P
zalf	z ɑ l f	S V R P
hond	h ɔ n t	H V N T
vos	v ɔ s	W V S
denken	d ɛ ŋ k	T V N K
dank	d ɑ ŋ k	T V N K
strooien	s t r oː ə	S T R V V
vier	v iː r	W V R
speer	s p eː r	S P V R
loog	l oː x	R V K
honing	h oː n ɪ	H V N V
boren	b oː r ə	P V R V
heg	h ɛ x	H V K
geboorte	b oː r t	P V R T
hand	h ɑ n t	H V N T
droom	d r oː m	T R V M
laden	l aː d ə	R V T V
dier	d iː r	T V R
wal	ʋ ɑ l	W V R
spaan	s p aː n	S P V N
duizend	d œy z ə n t	T V S V N T
navel	n aː v ə l	N V W V R
hamer	h aː m ə r	H V M V R
vouw	v ɑu ʋ ə	W V W V
stelt	s t ɛ l t	S T V R T
vorst	v ɔ s t	W V S T
stelen	s t eː l ə	S T V R V
varen	v aː r	W V R
net	n ɛ t	N V T
baar	b aː r	P V R
hulp	h ʉ l p	H V R P
nood	n oː t	N V T
hinde	h ɪ n d ə	H V N T V
hazelaar	h aː z ə l	H V S V R
streng	s t r ɛ ŋ	S T R V N
ruim	r œy m	R V M
breken	b r eː k ə	P R V K V
broek	b r uː k	P R V K
adder	ɑ d ə r	V T V R
zoom	z oː m	S V M
ban	b ɑ n	P V N
lichten	l ɪ x t ə	R V K T V
handelen	h ɑ n d ə l	H V N T V R
knoop	k n oː p	K N V P
bieden	b iː d ə	P V T V
donder	d ɔ n d ə r	T V N T V R
klimmen	k l ɪ m ə	K R V M V
garen	x aː r	K V R
daad	d aː t	T V T
