ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
218	ProtoGermanic	*bergan	*bergan	bergan	b e r g a n		61	b e r g ( a n )
219	German	*bergan	Berg	bɛrk	b ɛ r k		61	b ɛ r k ( - - )
220	English	*bergan	barrow	bærəʊ	b æ r əʊ		61	b æ r əʊ ( - - )
221	Dutch	*bergan	berg	bɛrx	b ɛ r x		61	b ɛ r x ( - - )
1527	ProtoGermanic	*berganan	*berganan	berganan	b e r g a n a n		420	b e r g a n ( a n )
1528	German	*berganan	bergen	bɛrɡən	b ɛ r g ə n		420	b ɛ r g ə n ( - - )
1529	Dutch	*berganan	bergen	bɛrɣə	b ɛ r ɣ ə		420	b ɛ r ɣ ə - ( - - )
542	ProtoGermanic	*beudanan	*beudanan	beudanan	b eu d a n a n		149	b eu d a n ( a n )
543	German	*beudanan	bieten	biːtən	b iː t ə n		149	b iː t ə n ( - - )
544	English	*beudanan	bid	bɪd	b ɪ d		149	b ɪ d - - ( - - )
545	Dutch	*beudanan	bieden	biːdə	b iː d ə		149	b iː d ə - ( - - )
925	ProtoGermanic	*beuganan	*beuganan	beuganan	b eu g a n a n		255	b eu g a n ( a n )
926	German	*beuganan	biegen	biːɡən	b iː g ə n		255	b iː g ə n ( - - )
927	English	*beuganan	bow	bəʊ	b əʊ		255	b əʊ - - - ( - - )
928	Dutch	*beuganan	buigen	bœyɣə	b œy ɣ ə		255	b œy ɣ ə - ( - - )
1445	ProtoGermanic	*bidjanan	*bidjanan	bidjanan	b i d j a n a n		397	b i d j a n ( a n )
1446	German	*bidjanan	bitten	bɪtən	b ɪ t ə n		397	b ɪ t - ə n ( - - )
1447	English	*bidjanan	bid	bɪd	b ɪ d		397	b ɪ d - - - ( - - )
1448	Dutch	*bidjanan	bidden	bɪdə	b ɪ d ə		397	b ɪ d - ə - ( - - )
108	ProtoGermanic	*bladan	*bladan	bladan	b l a d a n		31	b l a d ( a n )
109	German	*bladan	Blatt	blat	b l a t		31	b l a t ( - - )
110	Dutch	*bladan	blad	blɑt	b l ɑ t		31	b l ɑ t ( - - )
929	ProtoGermanic	*blikan	*blikan	blikan	b l i k a n		256	b l i k ( a n )
930	German	*blikan	Blech	blɛx	b l ɛ x		256	b l ɛ x ( - - )
931	Dutch	*blikan	blik	blɪk	b l ɪ k		256	b l ɪ k ( - - )
851	ProtoGermanic	*blōdan	*blōdan	bloːdan	b l oː d a n		235	b l oː d ( a n )
852	German	*blōdan	Blut	bluːt	b l uː t		235	b l uː t ( - - )
853	English	*blōdan	blood	blʌd	b l ʌ d		235	b l ʌ d ( - - )
854	Dutch	*blōdan	bloed	bluːt	b l uː t		235	b l uː t ( - - )
793	ProtoGermanic	*brandaz	*brandaz	brandaz	b r a n d a z		218	b r a n d ( a z )
794	German	*brandaz	Brand	brant	b r a n t		218	b r a n d ( - - )
795	English	*brandaz	brand	brænd	b r æ n d		218	b r æ n d ( - - )
796	Dutch	*brandaz	brand	brɑnt	b r ɑ n t		218	b r ɑ n t ( - - )
1153	ProtoGermanic	*braudan	*braudan	braudan	b r au d a n		317	b r au d ( a n )
1154	German	*braudan	Brot	broːt	b r oː t		317	b r oː t ( - - )
1155	English	*braudan	bread	brɛd	b r ɛ d		317	b r ɛ d ( - - )
1156	Dutch	*braudan	brood	broːt	b r oː t		317	b r oː t ( - - )
499	ProtoGermanic	*brekanan	*brekanan	brekanan	b r e k a n a n		137	b r e k a n ( a n )
500	German	*brekanan	brechen	brɛxən	b r ɛ x ə n		137	b r ɛ x ə n ( - - )
501	English	*brekanan	break	breɪk	b r eɪ k		137	b r eɪ k - - ( - - )
502	Dutch	*brekanan	breken	breːkə	b r eː k ə		137	b r eː k ə - ( - - )
1508	ProtoGermanic	*brekanan	*brekanan	brekanan	b r o k a n		415	b r o k ( a n )
1509	German	*brekanan	Bruch	brʊx	b r ʊ x		415	b r ʊ x ( - - )
1510	English	*brekanan	breeches	brʊk	b r ʊ k		415	b r ʊ k ( - - )
1511	Dutch	*brekanan	broek	bruːk	b r uː k		415	b r uː k ( - - )
1644	ProtoGermanic	*brenganan	*brenganan	brenganan	b r e n g a n a n		453	b r e n g a n ( a n )
1645	German	*brenganan	bringen	brɪŋən	b r ɪ ŋ ə n		453	b r ɪ ŋ - ə n ( - - )
1646	English	*brenganan	bring	brɪŋ	b r ɪ ŋ		453	b r ɪ ŋ - - - ( - - )
1647	Dutch	*brenganan	brengen	brɛŋə	b r ɛ ŋ ə		453	b r ɛ ŋ - ə - ( - - )
1746	ProtoGermanic	*brestanan	*brestanan	brestanan	b r e s t a n a n		480	b - r e s t a n ( a n )
1747	German	*brestanan	bersten	bɛrstən	b ɛ r s t ə n		480	b ɛ r - s t ə n ( - - )
1748	English	*brestanan	burst	bɜːst	b ɜː s t		480	b ɜː - - s t - - ( - - )
1749	Dutch	*brestanan	barsten	bɑrstə	b ɑ r s t ə		480	b ɑ r - s t ə - ( - - )
154	ProtoGermanic	*brunnōn	*brunnōn	brunnoːn	b r u nː oː n		44	b r u nː ( oː n )
155	German	*brunnōn	Brunnen	brʊnən	b r ʊ n ə n		44	b r ʊ n ( ə n )
156	Dutch	*brunnōn	bron	brɔn	b r ɔ n		44	b r ɔ n ( - - )
1765	ProtoGermanic	*brustz	*brustz	brustz	b r u s t z		485	b - r u s t ( z )
1766	German	*brustz	Brust	brʊst	b r ʊ s t		485	b - r ʊ s t ( - )
1767	English	*brustz	breast	brɛst	b r ɛ s t		485	b - r ɛ s t ( - )
1768	Dutch	*brustz	borst	bɔrst	b ɔ r s t		485	b ɔ r - s t ( - )
292	ProtoGermanic	*brūdiz	*brūdiz	bruːdiz	b r uː d i z		82	b r uː d ( i z )
293	German	*brūdiz	Braut	braut	b r au t		82	b r au t ( - - )
294	English	*brūdiz	bride	braɪd	b r aɪ d		82	b r aɪ d ( - - )
295	Dutch	*brūdiz	bruid	brœyt	b r œy t		82	b r œy t ( - - )
1131	ProtoGermanic	*brūkanan	*brūkanan	bruːkanan	b r uː k a n a n		311	( - - ) b r uː k a n ( a n )
1132	German	*brūkanan	brauchen	brauxən	b r au x ə n		311	( - - ) b r au x ə n ( - - )
1133	English	*brūkanan	brook	brʊk	b r ʊ k		311	( - - ) b r ʊ k - - ( - - )
1134	Dutch	*brūkanan	gebruiken	xəbrœykə	x ə b r œy k ə		311	( x ə ) b r œy k ə - ( - - )
813	ProtoGermanic	*budmaz	*budmaz	budmaz	b u θ m a z		224	b u θ - m ( a z )
814	German	*budmaz	Boden	boːdən	b oː d ə n		224	b oː d ə n ( - - )
815	English	*budmaz	bottom	bɔtəm	b ɔ t ə m		224	b ɔ t ə m ( - - )
816	Dutch	*budmaz	bodem	boːdəm	b oː d ə m		224	b oː d ə m ( - - )
1412	ProtoGermanic	*bugōn	*bugōn	bugoːn	b u g oː n		388	b u g oː n
1413	German	*bugōn	Bogen	boːɡən	b oː g ə n		388	b oː g ə n
1414	English	*bugōn	bow	bəʊ	b əʊ		388	b əʊ - - -
1415	Dutch	*bugōn	boog	boːx	b oː x		388	b oː x - -
31	ProtoGermanic	*bukkaz	*bukkaz	bukkaz	b u kː a z		9	b u kː ( a z )
32	German	*bukkaz	Bock	bɔk	b ɔ k		9	b ɔ k ( - - )
33	English	*bukkaz	buck	bʌk	b ʌ k		9	b ʌ k ( - - )
34	Dutch	*bukkaz	bok	bɔk	b ɔ k		9	b ɔ k ( - - )
1297	ProtoGermanic	*burdan	*burdan	burdan	b u r d a n		357	b u r d ( a n )
1298	German	*burdan	Bord	bɔrt	b ɔ r t		357	b ɔ r t ( - - )
1299	English	*burdan	board	bɔːd	b ɔː d		357	b ɔː - d ( - - )
1300	Dutch	*burdan	bord	bɔrt	b ɔ r t		357	b ɔ r t ( - - )
386	ProtoGermanic	*burdiz	*burdiz	burdiz	b u r d i z		107	( - - ) b u r d ( i z )
387	German	*burdiz	Geburt	ɡəbuːrt	g ə b uː r t		107	( g ə ) b uː r t ( - - )
388	English	*burdiz	birth	bɜːθ	b ɜː θ		107	( - - ) b ɜː - θ ( - - )
389	Dutch	*burdiz	geboorte	xəboːrtə	x ə b oː r t ə		107	( x ə ) b oː r t ( ə - )
378	ProtoGermanic	*burōjanan	*burōjanan	buroːjanan	b u r oː j a n a n		105	b u r ( oː ) j a n ( a n )
379	German	*burōjanan	bohren	boːrən	b oː r ə n		105	b oː r ( - ) - ə n ( - - )
380	English	*burōjanan	bore	bɔːr	b ɔː r		105	b ɔː r ( - ) - - - ( - - )
381	Dutch	*burōjanan	boren	boːrə	b oː r ə		105	b oː r ( - ) - ə - ( - - )
637	ProtoGermanic	*bō	*bō	boː	b oː		176	b oː ( - - )
638	German	*bō	beide	baidə	b ai d ə		176	b ai ( d ə )
639	English	*bō	both	bəʊθ	b əʊ θ		176	b əʊ ( θ - )
640	Dutch	*bō	beide	bɛɪdə	b ɛɪ d ə		176	b ɛɪ ( d ə )
222	ProtoGermanic	*bōguz	*bōguz	boːguz	b oː g u z		62	b oː g ( u z )
223	German	*bōguz	Bug	buːk	b uː k		62	b uː k ( - - )
224	English	*bōguz	bough	baʊ	b aʊ		62	b aʊ - ( - - )
932	ProtoGermanic	*bōkz	*bōkz	boːkz	b oː k z		257	b oː k ( z )
933	German	*bōkz	Buch	buːx	b uː x		257	b uː x ( - )
934	English	*bōkz	book	bʊk	b ʊ k		257	b ʊ k ( - )
935	Dutch	*bōkz	boek	buːk	b uː k		257	b uː k ( - )
1857	ProtoGermanic	*bōkō	*bōkō	boːkoː	b oː k oː		511	b oː k ( oː - - - )
1858	German	*bōkō	Buche	buːxə	b uː x ə		511	b uː x ( ə - - - )
1859	English	*bōkō	beech	biːʧ	b iː tʃ		511	b iː tʃ ( - - - - )
1860	Dutch	*bōkō	beukeboom	bøːkəboːm	b øː k ə b oː m		511	b øː k ( ə b oː m )
23	ProtoGermanic	*bōsmaz	*bōsmaz	boːsmaz	b oː s m a z		7	b oː s - m ( a z )
24	German	*bōsmaz	Busen	buːzən	b uː z ə n		7	b uː z ə n ( - - )
25	English	*bōsmaz	bosom	bʊzəm	b ʊ z ə m		7	b ʊ z ə m ( - - )
26	Dutch	*bōsmaz	boezem	buːzəm	b uː z ə m		7	b uː z ə m ( - - )
1028	ProtoGermanic	*būran	*būran	buːran	b uː r a n		283	b uː - r ( a n )
1029	German	*būran	Bauer	bauər	b au ə r		283	b au ə r ( - - )
1030	English	*būran	bower	baʊər	b aʊ ə r		283	b aʊ ə r ( - - )
1031	Dutch	*būran	boer	buːr	b uː r		283	b uː - r ( - - )
778	ProtoGermanic	*dagaz	*dagaz	dagaz	d a g a z		214	d a g ( a z )
779	German	*dagaz	Tag	taːk	t aː k		214	t aː k ( - - )
780	English	*dagaz	day	deɪ	d eɪ		214	d eɪ - ( - - )
781	Dutch	*dagaz	dag	dɑx	d ɑ x		214	d ɑ x ( - - )
759	ProtoGermanic	*daigaz	*daigaz	daigaz	d ai g a z		209	d ai g ( a z )
760	German	*daigaz	Teig	taik	t ai k		209	t ai k ( - - )
761	English	*daigaz	dough	dəʊ	d əʊ		209	d əʊ - ( - - )
762	Dutch	*daigaz	deeg	deːx	d eː x		209	d eː x ( - - )
1080	ProtoGermanic	*dailiz	*dailiz	dailiz	d ai l i z		297	d ai l ( i z )
1081	German	*dailiz	Teil	tail	t ai l		297	t ai l ( - - )
1082	English	*dailiz	deal	diːl	d iː l		297	d iː l ( - - )
1083	Dutch	*dailiz	deel	deːl	d eː l		297	d eː l ( - - )
1179	ProtoGermanic	*dalaz	*dalaz	dalaz	d a l a z		324	d a l ( a z )
1180	German	*dalaz	Tal	taːl	t aː l		324	t aː l ( - - )
1181	English	*dalaz	dale	deɪl	d eɪ l		324	d eɪ l ( - - )
1182	Dutch	*dalaz	dal	dɑl	d ɑ l		324	d ɑ l ( - - )
472	ProtoGermanic	*dampaz	*dampaz	dampaz	d a m p a z		130	d a m p ( a z )
473	German	*dampaz	Dampf	damp͡f	t a m pf		130	t a m pf ( - - )
474	Dutch	*dampaz	damp	dɑmp	d ɑ m p		130	d ɑ m p ( - - )
1305	ProtoGermanic	*daupjanan	*daupjanan	daupjanan	d au p j a n a n		359	d au p j a n ( a n )
1306	German	*daupjanan	taufen	taufən	t au f ə n		359	t au f - ə n ( - - )
1307	Dutch	*daupjanan	dopen	doːpə	d oː p ə		359	d oː p - ə - ( - - )
1512	ProtoGermanic	*dawwō	*dawwō	dawwoː	d a w oː		416	d - a w ( oː )
1513	German	*dawwō	Tau	tau	t au		416	t - au - ( - )
1514	English	*dawwō	dew	djuː	d j uː		416	d j uː - ( - )
1515	Dutch	*dawwō	dauw	dɑuʋ	d ɑu ʋ		416	d - ɑu ʋ ( - )
891	ProtoGermanic	*deljaz	*deljaz	deljaz	d e l j a z		246	d e l ( j a z )
892	German	*deljaz	Dill	dɪl	t ɪ l		246	t ɪ l ( - - - )
893	English	*deljaz	dill	dɪl	d ɪ l		246	d ɪ l ( - - - )
894	Dutch	*deljaz	dille	dɪlə	d ɪ l ə		246	d ɪ l ( - ə - )
405	ProtoGermanic	*deuzan	*deuzan	deuzan	d eu z a n		112	d eu z ( a n )
406	German	*deuzan	Tier	tiːr	t iː r		112	t iː r ( - - )
407	English	*deuzan	deer	dɪər	d ɪə r		112	d ɪə r ( - - )
408	Dutch	*deuzan	dier	diːr	d iː r		112	d iː r ( - - )
739	ProtoGermanic	*drankan	*drankan	drankan	d r a n k a n		204	d r a n k ( a n )
740	German	*drankan	Trank	traŋk	t r a ŋ k		204	t r a ŋ k ( - - )
741	English	*drankan	drench	drɛnʧ	d r ɛ n tʃ		204	d r ɛ n tʃ ( - - )
742	Dutch	*drankan	drank	drɑŋk	d r ɑ ŋ k		204	d r ɑ ŋ k ( - - )
394	ProtoGermanic	*draumaz	*draumaz	draumaz	d r au m a z		109	d r au m ( a z )
395	German	*draumaz	Traum	traum	t r au m		109	t r au m ( - - )
396	English	*draumaz	dream	driːm	d r iː m		109	d r iː m ( - - )
397	Dutch	*draumaz	droom	droːm	d r oː m		109	d r oː m ( - - )
19	ProtoGermanic	*drenkanan	*drenkanan	drenkanan	d r e n k a n a n		6	d r e n k a n ( a n )
20	German	*drenkanan	trinken	trɪŋkən	t r ɪ ŋ k ə n		6	t r ɪ ŋ k ə n ( - - )
21	English	*drenkanan	drink	drɪŋk	d r ɪ ŋ k		6	d r ɪ ŋ k - - ( - - )
22	Dutch	*drenkanan	drinken	drɪŋkə	d r ɪ ŋ k ə		6	d r ɪ ŋ k ə - ( - - )
880	ProtoGermanic	*dreupanan	*dreupanan	dreupanan	d r eu p a n a n		243	d r eu p a n ( a n )
881	German	*dreupanan	triefen	triːfən	t r iː f ə n		243	t r iː f ə n ( - - )
882	Dutch	*dreupanan	druipen	drœypə	d r œy p ə		243	d r œy p ə - ( - - )
1238	ProtoGermanic	*drībanan	*drībanan	driːbanan	d r iː b a n a n		341	d r iː b a n ( a n )
1239	German	*drībanan	treiben	traibən	t r ai b ə n		341	t r ai b ə n ( - - )
1240	English	*drībanan	drive	draɪv	d r aɪ v		341	d r aɪ v - - ( - - )
1241	Dutch	*drībanan	drijven	drɛɪvə	d r ɛɪ v ə		341	d r ɛɪ v ə - ( - - )
1235	ProtoGermanic	*dugunθiz	*dugunθiz	dugunθiz	d u g u n θ i z		340	d u g u n θ ( i z )
1236	German	*dugunθiz	Tugend	tuːɡənt	t uː g ə n t		340	t uː g ə n d ( - - )
1237	Dutch	*dugunθiz	deugd	døːxt	d øː x t		340	d øː x - - t ( - - )
101	ProtoGermanic	*duran	*duran	duran	d u r a n		29	d u r ( a n )
102	German	*duran	Tor	toːr	t oː r		29	t oː r ( - - )
103	English	*duran	door	dɔːr	d ɔː r		29	d ɔː r ( - - )
576	ProtoGermanic	*dēdiz	*dēdiz	deːdiz	d eː d i z		159	d eː d ( i z )
577	German	*dēdiz	Tat	taːt	t aː t		159	t aː t ( - - )
578	English	*dēdiz	deed	diːd	d iː d		159	d iː d ( - - )
579	Dutch	*dēdiz	daad	daːt	d aː t		159	d aː t ( - - )
1576	ProtoGermanic	*dōnan	*dōnan	doːnan	d oː n a n		434	d oː - n ( a n )
1577	German	*dōnan	tun	tuːn	t uː n		434	t uː ə n ( - - )
1578	English	*dōnan	do	duː	d uː		434	d uː - - ( - - )
1579	Dutch	*dōnan	doen	duːn	d uː n		434	d uː - n ( - - )
54	ProtoGermanic	*dūbōn	*dūbōn	duːboːn	d uː b oː n		16	d uː b oː ( n )
55	German	*dūbōn	Taube	taubə	t au b ə		16	t au b ə ( - )
56	English	*dūbōn	dove	dʌv	d ʌ v		16	d ʌ v - ( - )
57	Dutch	*dūbōn	dove	doːvə	d oː v ə		16	d oː v ə ( - )
600	ProtoGermanic	*end	*end	end	e n d		166	- e n ( d )
601	German	*end	ein	ain	ai n		166	- ai n ( - )
602	English	*end	one	ʋʌn	ʋ ʌ n		166	ʋ ʌ n ( - )
603	Dutch	*end	een	eːn	eː n		166	- eː n ( - )
86	ProtoGermanic	*erθo	*erθo	erθo	e r θ o		25	e r θ o
87	German	*erθo	Erde	eːrdə	eː r d ə		25	eː r d ə
88	English	*erθo	earth	ɜːθ	ɜː θ		25	ɜː - θ -
89	Dutch	*erθo	aarde	aːrdə	aː r d ə		25	aː r d ə
1328	ProtoGermanic	*etanan	*etanan	etanan	e t a n a n		365	e t a n ( a n )
1329	German	*etanan	essen	ɛsən	ɛ s ə n		365	ɛ s ə n ( - - )
1330	English	*etanan	eat	iːt	iː t		365	iː t - - ( - - )
1331	Dutch	*etanan	eten	eːtə	eː t ə		365	eː t ə - ( - - )
907	ProtoGermanic	*fadēr	*fadēr	fadeːr	f a d eː r		250	f a d eː r
908	German	*fadēr	Vater	faːtər	f aː t ə r		250	f aː t ə r
909	English	*fadēr	father	fɑːðər	f ɑː ð ə r		250	f ɑː ð ə r
910	Dutch	*fadēr	vader	vaːdər	v aː d ə r		250	v aː d ə r
247	ProtoGermanic	*fallanan	*fallanan	fallanan	f a lː a n a n		69	f a lː a n ( a n )
248	German	*fallanan	fallen	falən	f a l ə n		69	f a l ə n ( - - )
249	English	*fallanan	fall	fɔːl	f ɔː l		69	f ɔː l - - ( - - )
250	Dutch	*fallanan	vallen	vɑlə	v ɑ l ə		69	v ɑ l ə - ( - - )
441	ProtoGermanic	*falθanan	*falθanan	falθanan	f a l θ a n a n		122	f a l θ a n ( a n )
442	German	*falθanan	falten	faltən	f a l t ə n		122	f a l t ə n ( - - )
443	English	*falθanan	fold	fəʊld	f əʊ l d		122	f əʊ l d - - ( - - )
444	Dutch	*falθanan	vouw	vɑuʋ	v ɑu ʋ		122	v ɑu ʋ - ə - ( - - )
1834	ProtoGermanic	*fanxanan	*fanxanan	fanxanan	f a n x a n a n		504	f a n x a n ( a n )
1835	German	*fanxanan	fangen	faŋən	f a ŋ ə n		504	f a ŋ - ə n ( - - )
1836	Dutch	*fanxanan	vangen	vɑŋə	v ɑ ŋ ə		504	v ɑ ŋ - ə - ( - - )
202	ProtoGermanic	*faranan	*faranan	faranan	f a r a n a n		57	f a r a n ( a n )
203	German	*faranan	fahren	faːrən	f aː r ə n		57	f aː r ə n ( - - )
204	English	*faranan	fare	fɛər	f ɛə r		57	f ɛə r - - ( - - )
205	Dutch	*faranan	varen	vaːrə	v aː r ə		57	v aː r ə - ( - - )
460	ProtoGermanic	*farnan	*farnan	farnan	f a r n a n		127	f a r n ( a n )
461	German	*farnan	Farn	farn	f a r n		127	f a r n ( - - )
462	English	*farnan	fern	fɜːn	f ɜː n		127	f ɜː - n ( - - )
463	Dutch	*farnan	varen	vaːrə	v aː r ə		127	v aː r - ( ə - )
1312	ProtoGermanic	*fastēnan	*fastēnan	fasteːnan	f a s t eː n a n		361	f a s t eː n ( a n )
1313	German	*fastēnan	fasten	fastən	f a s t ə n		361	f a s t ə n ( - - )
1314	English	*fastēnan	fast	fɑːst	f ɑː s t		361	f ɑː s t - - ( - - )
1315	Dutch	*fastēnan	vasten	vɑstə	v ɑ s t ə		361	v ɑ s t ə - ( - - )
359	ProtoGermanic	*fedwōrez	*fedwōrez	fedwoːrez	f e d w oː r e z		100	f e ( d w oː ) r ( e z )
360	German	*fedwōrez	vier	fiːr	f iː r		100	f iː ( - - - ) r ( - - )
361	English	*fedwōrez	four	fɔːr	f ɔː r		100	f ɔː ( - - - ) r ( - - )
362	Dutch	*fedwōrez	vier	viːr	v iː r		100	v iː ( - - - ) r ( - - )
1793	ProtoGermanic	*fellan	*fellan	fellan	f e lː a n		493	f e lː ( a n )
1794	German	*fellan	Fell	fɛl	f ɛ l		493	f ɛ l ( - - )
