ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
1756	English	*fenθanan	find	faɪnd	f aɪ n d		482	f aɪ n d - - ( - - )
1757	Dutch	*fenθanan	vinden	vɪndə	v ɪ n d ə		482	v ɪ n d ə - ( - - )
157	ProtoGermanic	*fextanan	*fextanan	fextanan	f e x t a n a n		45	f e x t a n ( a n )
158	German	*fextanan	fechten	fɛxtən	f ɛ x t ə n		45	f ɛ x t ə n ( - - )
159	English	*fextanan	fight	faɪt	f aɪ t		45	f aɪ - t - - ( - - )
160	Dutch	*fextanan	vechten	vɛxtə	v ɛ x t ə		45	v ɛ x t ə - ( - - )
115	ProtoGermanic	*fexu	*fexu	fexu	f e x u		33	f e ( x u )
116	German	*fexu	Vieh	viː	v iː		33	v iː ( - - )
117	English	*fexu	fee	fiː	f iː		33	f iː ( - - )
118	Dutch	*fexu	vee	veː	v eː		33	v eː ( - - )
1257	ProtoGermanic	*fiskaz	*fiskaz	fiskaz	f i s k a z		346	f i s k ( a z )
1258	German	*fiskaz	Fisch	fɪʃ	f ɪ ʃ		346	f ɪ ʃ - ( - - )
1259	English	*fiskaz	fish	fɪʃ	f ɪ ʃ		346	f ɪ ʃ - ( - - )
1260	Dutch	*fiskaz	vis	vɪs	v ɪ s		346	v ɪ s - ( - - )
1024	ProtoGermanic	*flaiskaz	*flaiskaz	flaiskaz	f l ai s k a z		282	f l ai s k ( a z )
1025	German	*flaiskaz	Fleisch	flaiʃ	f l ai ʃ		282	f l ai ʃ - ( - - )
1026	English	*flaiskaz	flesh	flɛʃ	f l ɛ ʃ		282	f l ɛ ʃ - ( - - )
1027	Dutch	*flaiskaz	vlees	vleːs	v l eː s		282	v l eː s - ( - - )
48	ProtoGermanic	*flaskō	*flaskō	flaskoː	f l a s k oː		14	f l a s k oː
49	German	*flaskō	Flasche	flaʃə	f l a ʃ ə		14	f l a ʃ - ə
50	English	*flaskō	flask	flɑːsk	f l ɑː s k		14	f l ɑː s k -
968	ProtoGermanic	*flauxz	*flauxz	flauxz	f l au x z		267	f l au x ( z )
969	German	*flauxz	Floh	floː	f l oː		267	f l oː - ( - )
970	English	*flauxz	flea	fliː	f l iː		267	f l iː - ( - )
971	Dutch	*flauxz	vlo	vloː	v l oː		267	v l oː - ( - )
1803	ProtoGermanic	*flaxsan	*flaxsan	flaxsan	f l a x s a n		496	f l a x s ( a n )
1804	German	*flaxsan	Flachs	flaks	f l a k s		496	f l a k s ( - - )
1805	English	*flaxsan	flax	flæks	f l æ k s		496	f l æ k s ( - - )
1806	Dutch	*flaxsan	vlas	vlɑs	v l ɑ s		496	v l ɑ - s ( - - )
1105	ProtoGermanic	*fleuganan	*fleuganan	fleuganan	f l eu g a n a n		304	f l eu g a n ( a n )
1106	German	*fleuganan	fliegen	fliːɡən	f l iː g ə n		304	f l iː g ə n ( - - )
1107	English	*fleuganan	fly	flaɪ	f l aɪ		304	f l aɪ - - - ( - - )
1108	Dutch	*fleuganan	vliegen	vliːɣə	v l iː ɣ ə		304	v l iː ɣ ə - ( - - )
1223	ProtoGermanic	*fleuxanan	*fleuxanan	fleuxanan	f l eu x a n a n		337	f l eu x a n ( a n )
1224	German	*fleuxanan	fliehen	fliːən	f l iː ə n		337	f l iː - ə n ( - - )
1225	English	*fleuxanan	flee	fliː	f l iː		337	f l iː - - - ( - - )
1226	Dutch	*fleuxanan	vlieden	vliːdə	v l iː d ə		337	v l iː d ə - ( - - )
1637	ProtoGermanic	*flextanan	*flextanan	flextanan	f l e x t a n a n		451	f l e x t a n ( a n )
1638	German	*flextanan	flechten	flɛxtən	f l ɛ x t ə n		451	f l ɛ x t ə n ( - - )
1639	Dutch	*flextanan	vlechten	vlɛxtə	v l ɛ x t ə		451	v l ɛ x t ə - ( - - )
1404	ProtoGermanic	*flōduz	*flōduz	floːduz	f l oː d u z		386	f l oː d ( u z )
1405	German	*flōduz	Flut	fluːt	f l uː t		386	f l uː t ( - - )
1406	English	*flōduz	flood	flʌd	f l ʌ d		386	f l ʌ d ( - - )
1407	Dutch	*flōduz	vloed	vluːt	v l uː t		386	v l uː t ( - - )
921	ProtoGermanic	*freusanan	*freusanan	freusanan	f r eu s a n a n		254	f r eu s a n ( a n )
922	German	*freusanan	frieren	friːrən	f r iː r ə n		254	f r iː r ə n ( - - )
923	English	*freusanan	freeze	friːz	f r iː z		254	f r iː z - - ( - - )
924	Dutch	*freusanan	vriezen	vriːzə	v r iː z ə		254	v r iː z ə - ( - - )
1684	ProtoGermanic	*frijōndz	*frijōndz	frijoːndz	f r i j oː n d z		463	f r i ( j oː ) n d ( z )
1685	German	*frijōndz	Freund	frɔynt	f r ɔy n t		463	f r ɔy ( - - ) n d ( - )
1686	English	*frijōndz	friend	frɛnd	f r ɛ n d		463	f r ɛ ( - - ) n d ( - )
1687	Dutch	*frijōndz	vriend	vriːnt	v r iː n t		463	v r iː ( - - ) n t ( - )
452	ProtoGermanic	*frustan	*frustan	frustan	f r u s t a n		125	f r u - s t ( a n )
453	German	*frustan	Frost	frɔst	f r ɔ s t		125	f r ɔ - s t ( - - )
454	English	*frustan	frost	frɔst	f r ɔ s t		125	f r ɔ - s t ( - - )
455	Dutch	*frustan	vorst	vɔrst	v ɔ r s t		125	v - ɔ r s t ( - - )
1826	ProtoGermanic	*fuglaz	*fuglaz	fuglaz	f u g l a z		502	f u g - l ( a z )
1827	German	*fuglaz	Vogel	foːɡəl	f oː g ə l		502	f oː g ə l ( - - )
1828	English	*fuglaz	fowl	faʊl	f aʊ l		502	f aʊ - - l ( - - )
1829	Dutch	*fuglaz	vogel	voːɣəl	v oː ɣ ə l		502	v oː ɣ ə l ( - - )
1879	ProtoGermanic	*fulgēnan	*fulgēnan	fulgeːnan	f u l g eː n a n		517	f u l g eː n ( a n )
1880	German	*fulgēnan	folgen	fɔlɡən	f ɔ l g ə n		517	f ɔ l g ə n ( - - )
1881	English	*fulgēnan	follow	fɔləʊ	f ɔ l əʊ		517	f ɔ l əʊ - - ( - - )
1882	Dutch	*fulgēnan	volgen	vɔlɣə	v ɔ l ɣ ə		517	v ɔ l ɣ ə - ( - - )
774	ProtoGermanic	*fulkan	*fulkan	fulkan	f u l k a n		213	f u l k ( a n )
775	German	*fulkan	Volk	fɔlk	f ɔ l k		213	f ɔ l k ( - - )
776	English	*fulkan	folk	fəʊk	f əʊ k		213	f əʊ - k ( - - )
777	Dutch	*fulkan	volk	vɔlk	v ɔ l k		213	v ɔ l k ( - - )
1442	ProtoGermanic	*fulōn	*fulōn	fuloːn	f u l oː n		396	f u l ( oː n )
1443	German	*fulōn	Fohlen	foːlən	f oː l ə n		396	f oː l ( ə n )
1444	English	*fulōn	foal	fəʊl	f əʊ l		396	f əʊ l ( - - )
1822	ProtoGermanic	*funxwstiz	*funxwstiz	funxwstiz	f u n xʷ s t i z		501	f u ( n xʷ ) s t ( i z )
1823	German	*funxwstiz	Faust	faust	f au s t		501	f au ( - - ) s t ( - - )
1824	English	*funxwstiz	fist	fɪst	f ɪ s t		501	f ɪ ( - - ) s t ( - - )
1825	Dutch	*funxwstiz	vuist	vœyst	v œy s t		501	v œy ( - - ) s t ( - - )
1475	ProtoGermanic	*furxtīn	*furxtīn	furxtiːn	f u r x t iː n		406	f u r - x t ( iː n )
1476	German	*furxtīn	Furcht	fʊrxt	f ʊ r x t		406	f ʊ r - x t ( - - )
1477	English	*furxtīn	fright	fraɪt	f r aɪ t		406	f - r aɪ - t ( - - )
951	ProtoGermanic	*furxō	*furxō	furxoː	f u r x oː		262	f u r ( x oː )
952	German	*furxō	Furche	fʊrxə	f ʊ r x ə		262	f ʊ r ( x ə )
953	English	*furxō	furrow	fʌrəʊ	f ʌ r əʊ		262	f ʌ r ( əʊ - )
954	Dutch	*furxō	voor	voːr	v oː r		262	v oː r ( - - )
1580	ProtoGermanic	*fuwer	*fuwer	fuwer	f u w e r		435	f u w e r
1581	German	*fuwer	Feuer	fɔyər	f ɔy ə r		435	f ɔy - ə r
1582	English	*fuwer	fire	faɪər	f aɪ ə r		435	f aɪ - ə r
1583	Dutch	*fuwer	vuur	vyːr	v yː r		435	v yː - - r
338	ProtoGermanic	*fuxsaz	*fuxsaz	fuxsaz	f u x s a z		94	f u x s ( a z )
339	German	*fuxsaz	Fuchs	fʊks	f ʊ k s		94	f ʊ k s ( - - )
340	English	*fuxsaz	fox	fɔks	f ɔ k s		94	f ɔ k s ( - - )
341	Dutch	*fuxsaz	vos	vɔs	v ɔ s		94	v ɔ - s ( - - )
883	ProtoGermanic	*fōdran	*fōdran	foːdran	f oː d r a n		244	f oː d - r ( a n )
884	German	*fōdran	Futter	fʊtər	f ʊ t ə r		244	f ʊ t ə r ( - - )
885	English	*fōdran	fodder	fɔdər	f ɔ d ə r		244	f ɔ d ə r ( - - )
886	Dutch	*fōdran	voer	vuːr	v uː r		244	v uː - - r ( - - )
16	ProtoGermanic	*gaistaz	*gaistaz	gaistaz	g ai s t a z		5	g ai s t ( a z )
17	German	*gaistaz	Geist	ɡaist	g ai s t		5	g ai s t ( - - )
18	English	*gaistaz	ghost	ɡəʊst	g əʊ s t		5	g əʊ s t ( - - )
743	ProtoGermanic	*gallan	*gallan	gallan	g a lː a n		205	g a lː a ( n )
744	German	*gallan	Galle	ɡalə	g a l ə		205	g a l ə ( - )
745	English	*gallan	gall	ɡɔːl	g ɔː l		205	g ɔː l - ( - )
746	Dutch	*gallan	gal	xɑl	x ɑ l		205	x ɑ l - ( - )
198	ProtoGermanic	*gangaz	*gangaz	gangaz	g a n g a z		56	g a n g ( a z )
199	German	*gangaz	Gang	ɡaŋ	g a ŋ		56	g a ŋ - ( - - )
200	English	*gangaz	gang	ɡæŋ	g æ ŋ		56	g æ ŋ - ( - - )
201	Dutch	*gangaz	gang	xɑŋ	x ɑ ŋ		56	x ɑ ŋ - ( - - )
1289	ProtoGermanic	*gansz	*gansz	gansz	g a n s z		355	g a n s ( z )
1290	German	*gansz	Gans	ɡans	g a n s		355	g a n s ( - )
1291	English	*gansz	goose	ɡuːs	g uː s		355	g uː - s ( - )
1292	Dutch	*gansz	gans	xɑns	x ɑ n s		355	x ɑ n s ( - )
560	ProtoGermanic	*garnan	*garnan	garnan	g a r n a n		154	g a r n ( a n )
561	German	*garnan	Garn	ɡarn	g a r n		154	g a r n ( - - )
562	English	*garnan	yarn	jɑːn	j ɑː n		154	j ɑː - n ( - - )
563	Dutch	*garnan	garen	xaːrə	x aː r ə		154	x aː r - ( ə - )
1608	ProtoGermanic	*gastiz	*gastiz	gastiz	g a s t i z		443	g a s t ( i z )
1609	German	*gastiz	Gast	ɡast	g a s t		443	g a s t ( - - )
1610	English	*gastiz	guest	ɡɛst	g ɛ s t		443	g ɛ s t ( - - )
1611	Dutch	*gastiz	gast	xɑst	x ɑ s t		443	x ɑ s t ( - - )
747	ProtoGermanic	*gebanan	*gebanan	gebanan	g e b a n a n		206	g e b a n ( a n )
748	German	*gebanan	geben	ɡeːbən	g eː b ə n		206	g eː b ə n ( - - )
749	English	*gebanan	give	ɡɪv	g ɪ v		206	g ɪ v - - ( - - )
750	Dutch	*gebanan	geven	xeːvə	x eː v ə		206	x eː v ə - ( - - )
617	ProtoGermanic	*geftiz	*geftiz	geftiz	g e f t i z		171	g e f t ( i z )
618	German	*geftiz	Gift	ɡɪft	g ɪ f t		171	g ɪ f t ( - - )
619	English	*geftiz	gift	ɡɪft	g ɪ f t		171	g ɪ f t ( - - )
620	Dutch	*geftiz	gift	xɪft	x ɪ f t		171	x ɪ f t ( - - )
1135	ProtoGermanic	*geldanan	*geldanan	geldanan	g e l d a n a n		312	g e l d a n ( a n )
1136	German	*geldanan	gelten	ɡɛltən	g ɛ l t ə n		312	g ɛ l t ə n ( - - )
1137	Dutch	*geldanan	gelden	xɛldə	x ɛ l d ə		312	x ɛ l d ə - ( - - )
1149	ProtoGermanic	*gennanan	*gennanan	gennanan	g e nː a n a n		316	( - - ) g e nː a n ( a n )
1150	German	*gennanan	beginnen	bəɡɪnən	b ə g ɪ n ə n		316	( b ə ) g ɪ n ə n ( - - )
1151	English	*gennanan	begin	bɪɡɪn	b ɪ g ɪ n		316	( b ɪ ) g ɪ n - - ( - - )
1152	Dutch	*gennanan	beginnen	bəɣɪnə	b ə ɣ ɪ n ə		316	( b ə ) ɣ ɪ n ə - ( - - )
1472	ProtoGermanic	*glōdiz	*glōdiz	gloːdiz	g l oː d i z		405	g l oː d ( i z )
1473	German	*glōdiz	Glut	ɡluːt	g l uː t		405	g l uː t ( - - )
1474	Dutch	*glōdiz	gloed	xluːt	x l uː t		405	x l uː t ( - - )
131	ProtoGermanic	*grabanan	*grabanan	grabanan	g r a b a n a n		37	g r a b a n ( a n )
132	German	*grabanan	graben	ɡraːbən	g r aː b ə n		37	g r aː b ə n ( - - )
133	English	*grabanan	grave	ɡrɑːv	g r ɑː v		37	g r ɑː v - - ( - - )
134	Dutch	*grabanan	graven	xraːvə	x r aː v ə		37	x r aː v ə - ( - - )
786	ProtoGermanic	*grasan	*grasan	grasan	g r a s a n		216	g r a s ( a n )
787	German	*grasan	Gras	ɡraːs	g r aː s		216	g r aː s ( - - )
788	English	*grasan	grass	ɡrɑːs	g r ɑː s		216	g r ɑː s ( - - )
789	Dutch	*grasan	gras	xrɑs	x r ɑ s		216	x r ɑ s ( - - )
97	ProtoGermanic	*grunduz	*grunduz	grunduz	g r u n d u z		28	g r u n d ( u z )
98	German	*grunduz	Grund	ɡrʊnt	g r ʊ n t		28	g r ʊ n d ( - - )
99	English	*grunduz	ground	ɡraʊnd	g r aʊ n d		28	g r aʊ n d ( - - )
100	Dutch	*grunduz	grond	xrɔnt	x r ɔ n t		28	x r ɔ n t ( - - )
240	ProtoGermanic	*grīpanan	*grīpanan	griːpanan	g r iː p a n a n		67	g r iː p a n ( a n )
241	German	*grīpanan	greifen	ɡraifən	g r ai f ə n		67	g r ai f ə n ( - - )
242	English	*grīpanan	gripe	ɡraɪp	g r aɪ p		67	g r aɪ p - - ( - - )
243	Dutch	*grīpanan	grijpen	xrɛɪpə	x r ɛɪ p ə		67	x r ɛɪ p ə - ( - - )
145	ProtoGermanic	*grōbō	*grōbō	groːboː	g r oː b oː		41	g r oː b ( oː )
146	German	*grōbō	Grube	ɡruːbə	g r uː b ə		41	g r uː b ( ə )
147	Dutch	*grōbō	groeve	xruːvə	x r uː v ə		41	x r uː v ( ə )
1868	ProtoGermanic	*gud	*gud	gud	g u d		514	g u d
1869	German	*gud	Gott	ɡɔt	g ɔ t		514	g ɔ t
1870	English	*gud	god	ɡɔd	g ɔ d		514	g ɔ d
1871	Dutch	*gud	god	xɔt	x ɔ t		514	x ɔ t
1850	ProtoGermanic	*gudaz	*gudaz	gudaz	g u d a z		509	( - - ) g u d ( a z )
1851	German	*gudaz	Abgott	apɡɔt	a p g ɔ t		509	( a p ) g ɔ t ( - - )
1852	Dutch	*gudaz	afgod	ɑfxɔt	ɑ f x ɔ t		509	( ɑ f ) x ɔ t ( - - )
1084	ProtoGermanic	*gulθan	*gulθan	gulθan	g u l θ a n		298	g u l θ ( a n )
1085	German	*gulθan	Gold	ɡɔlt	g ɔ l t		298	g ɔ l d ( - - )
1086	English	*gulθan	gold	ɡəʊld	g əʊ l d		298	g əʊ l d ( - - )
1087	Dutch	*gulθan	goud	xɑut	x ɑu t		298	x ɑu - t ( - - )
1197	ProtoGermanic	*igilaz/igulaz	*igilaz/igulaz	igilaz/igulaz	i g i l a z		329	i g i l ( a z )
1198	German	*igilaz/igulaz	Igel	iːɡəl	iː g ə l		329	iː g ə l ( - - )
1199	Dutch	*igilaz/igulaz	egel	eːɣəl	eː ɣ ə l		329	eː ɣ ə l ( - - )
865	ProtoGermanic	*jugunθiz	*jugunθiz	jugunθiz	j u g u n θ i z		239	j u g u n θ ( i z )
866	German	*jugunθiz	Jugend	juːɡənt	j uː g ə n t		239	j uː g ə n d ( - - )
867	English	*jugunθiz	youth	juːθ	j uː θ		239	j uː - - - θ ( - - )
868	Dutch	*jugunθiz	jeugd	jøːxt	j øː x t		239	j øː x - - t ( - - )
826	ProtoGermanic	*jukan	*jukan	jukan	j u k a n		228	j u k ( a n )
827	German	*jukan	Joch	jɔx	j ɔ x		228	j ɔ x ( - - )
828	English	*jukan	yoke	jəʊk	j əʊ k		228	j əʊ k ( - - )
829	Dutch	*jukan	juk	jʉk	j ʉ k		228	j ʉ k ( - - )
1840	ProtoGermanic	*jēmraz	*jēmraz	jeːmraz	j eː m r a z		506	j eː m - r ( a z )
1841	German	*jēmraz	Jammer	jamər	j a m ə r		506	j a m ə r ( - - )
1842	Dutch	*jēmraz	jammer	jɑmər	j ɑ m ə r		506	j ɑ m ə r ( - - )
1017	ProtoGermanic	*jēran	*jēran	jeːran	j eː r a n		280	j eː r ( a n )
1018	German	*jēran	Jahr	jaːr	j aː r		280	j aː r ( - - )
1019	English	*jēran	year	jɪər	j ɪə r		280	j ɪə r ( - - )
1020	Dutch	*jēran	jaar	jaːr	j aː r		280	j aː r ( - - )
190	ProtoGermanic	*kalbaz	*kalbaz	kalbaz	k a l b a z		54	k a l b ( a z )
191	German	*kalbaz	Kalb	kalp	k a l p		54	k a l b ( - - )
192	English	*kalbaz	calf	kɑːf	k ɑː f		54	k ɑː - f ( - - )
193	Dutch	*kalbaz	kalf	kɑlf	k ɑ l f		54	k ɑ l f ( - - )
1672	ProtoGermanic	*kambaz	*kambaz	kambaz	k a m b a z		460	k a m b ( a z )
1673	German	*kambaz	Kamm	kam	k a m		460	k a m - ( - - )
1674	English	*kambaz	comb	kəʊm	k əʊ m		460	k əʊ m - ( - - )
1675	Dutch	*kambaz	kam	kɑm	k ɑ m		460	k ɑ m - ( - - )
420	ProtoGermanic	*kernōn	*kernōn	kernoːn	k e r n oː n		116	k e r n oː n
421	German	*kernōn	Kern	kɛrn	k ɛ r n		116	k ɛ r - - n
422	Dutch	*kernōn	kern	kɛrn	k ɛ r n		116	k ɛ r - - n
988	ProtoGermanic	*kewwanan	*kewwanan	kewwanan	k e w a n a n		272	k e w a n ( a n )
989	German	*kewwanan	kauen	kauən	k au ə n		272	k au - ə n ( - - )
990	English	*kewwanan	chew	ʧuː	tʃ uː		272	tʃ uː - - - ( - - )
991	Dutch	*kewwanan	kauwen	kɑuʋə	k ɑu ʋ ə		272	k ɑu ʋ ə - ( - - )
553	ProtoGermanic	*klembanan	*klembanan	klembanan	k l e m b a n a n		152	k l e m b a n ( a n )
554	German	*klembanan	klimmen	klɪmən	k l ɪ m ə n		152	k l ɪ m - ə n ( - - )
555	English	*klembanan	climb	klaɪm	k l aɪ m		152	k l aɪ m - - - ( - - )
556	Dutch	*klembanan	klimmen	klɪmə	k l ɪ m ə		152	k l ɪ m - ə - ( - - )
1516	ProtoGermanic	*klibēnan	*klibēnan	klibeːnan	k l i b eː n a n		417	k l i b eː n ( a n )
1517	German	*klibēnan	kleben	kleːbən	k l eː b ə n		417	k l eː b ə n ( - - )
1518	Dutch	*klibēnan	kleven	kleːvə	k l eː v ə		417	k l eː v ə - ( - - )
148	ProtoGermanic	*knabilaz	*knabilaz	knabilaz	k n a b i l a z		42	k n a b i l ( a z )
149	German	*knabilaz	Knebel	kneːbəl	k n eː b ə l		42	k n eː b ə l ( - - )
150	Dutch	*knabilaz	knevel	kneːvəl	k n eː v ə l		42	k n eː v ə l ( - - )
766	ProtoGermanic	*knakkaz	*knakkaz	knakkaz	k n a kː a z		211	k n a kː a z
767	German	*knakkaz	Knecht	knɛxt	k n ɛ x t		211	k n ɛ x - t
768	English	*knakkaz	knight	naɪt	n aɪ t		211	- n aɪ - - t
769	Dutch	*knakkaz	knecht	knɛxt	k n ɛ x t		211	k n ɛ x - t
1830	ProtoGermanic	*knedanan	*knedanan	knedanan	k n e d a n a n		503	k n e d a n ( a n )
1831	German	*knedanan	kneten	kneːtən	k n eː t ə n		503	k n eː t ə n ( - - )
1832	English	*knedanan	knead	niːd	n iː d		503	- n iː d - - ( - - )
1833	Dutch	*knedanan	kneden	kneːdə	k n eː d ə		503	k n eː d ə - ( - - )
903	ProtoGermanic	*knewan	*knewan	knewan	k n e w a n		249	k n e ( w a n )
904	German	*knewan	Knie	kniː	k n iː		249	k n iː ( - - - )
905	English	*knewan	knee	niː	n iː		249	- n iː ( - - - )
906	Dutch	*knewan	knie	kniː	k n iː		249	k n iː ( - - - )
535	ProtoGermanic	*knuppaz	*knuppaz	knuppaz	k n u pː a z		147	k n u pː ( a z )
536	German	*knuppaz	Knopf	knɔp͡f	k n ɔ pf		147	k n ɔ pf ( - - )
537	English	*knuppaz	knob	nɔb	n ɔ b		147	- n ɔ b ( - - )
538	Dutch	*knuppaz	knoop	knoːp	k n oː p		147	k n oː p ( - - )
1500	ProtoGermanic	*kraftiz	*kraftiz	kraftiz	k r a f t i z		413	k r a f t ( i z )
1501	German	*kraftiz	Kraft	kraft	k r a f t		413	k r a f t ( - - )
1502	English	*kraftiz	craft	krɑːft	k r ɑː f t		413	k r ɑː f t ( - - )
1503	Dutch	*kraftiz	kracht	krɑxt	k r ɑ x t		413	k r ɑ x t ( - - )
876	ProtoGermanic	*kruppaz	*kruppaz	kruppaz	k r u pː a z		242	k r u pː ( a z )
877	German	*kruppaz	Kropf	krɔp͡f	k r ɔ pf		242	k r ɔ pf ( - - )
878	English	*kruppaz	crop	krɔp	k r ɔ p		242	k r ɔ p ( - - )
879	Dutch	*kruppaz	krop	krɔp	k r ɔ p		242	k r ɔ p ( - - )
5	ProtoGermanic	*kurnan	*kurnan	kurnan	k u r n a n		533	k u r n ( a n )
6	German	*kurnan	Korn	kɔrn	k ɔ r n		533	k ɔ r n ( - - )
7	English	*kurnan	corn	kɔːn	k ɔː n		533	k ɔː - n ( - - )
8	Dutch	*kurnan	koren	koːrə	k oː r ə		533	k oː r - ( ə - )
597	ProtoGermanic	*kwalō	*kwalō	kwaloː	kʷ a l oː		165	kʷ - a l ( oː )
598	German	*kwalō	Qual	kvaːl	k v aː l		165	k v aː l ( - )
599	Dutch	*kwalō	kwaal	kʋaːl	k ʋ aː l		165	k ʋ aː l ( - )
1242	ProtoGermanic	*kwiθuz	*kwiθuz	kwiθuz	kʷ i θ u z		342	kʷ i θ ( u z )
1243	German	*kwiθuz	Kitt	kɪt	k ɪ t		342	k ɪ t ( - - )
1244	English	*kwiθuz	cud	kʌd	k ʌ d		342	k ʌ d ( - - )
1245	Dutch	*kwiθuz	kit	kɪt	k ɪ t		342	k ɪ t ( - - )
1088	ProtoGermanic	*kōwz	*kōwz	koːwz	k oː w z		299	k oː ( w z )
1089	German	*kōwz	Kuh	kuː	k uː		299	k uː ( - - )
1090	English	*kōwz	cow	kaʊ	k aʊ		299	k aʊ ( - - )
1091	Dutch	*kōwz	koe	kuː	k uː		299	k uː ( - - )
1546	ProtoGermanic	*labbaz	*labbaz	labbaz	l a b a z		426	l a b ( a z )
1547	German	*labbaz	Lappen	lapən	l a p ə n		426	l a p ( ə n )
1548	English	*labbaz	lap	læp	l æ p		426	l æ p ( - - )
1549	Dutch	*labbaz	lap	lɑp	l ɑ p		426	l ɑ p ( - - )
1738	ProtoGermanic	*laidjanan	*laidjanan	laidjanan	l ai d j a n a n		478	l ai d j a n ( a n )
1739	German	*laidjanan	leiten	laitən	l ai t ə n		478	l ai t - ə n ( - - )
1740	English	*laidjanan	lead	liːd	l iː d		478	l iː d - - - ( - - )
1741	Dutch	*laidjanan	leiden	lɛɪdə	l ɛɪ d ə		478	l ɛɪ d - ə - ( - - )
899	ProtoGermanic	*laimōn	*laimōn	laimoːn	l ai m oː n		248	l ai m ( oː n )
900	German	*laimōn	Lehm	leːm	l eː m		248	l eː m ( - - )
901	English	*laimōn	loam	ləʊm	l əʊ m		248	l əʊ m ( - - )
902	Dutch	*laimōn	leem	leːm	l eː m		248	l eː m ( - - )
1698	ProtoGermanic	*laisjanan	*laisjanan	laisjanan	l ai s j a n a n		467	l ai s j a n ( a n )
1699	German	*laisjanan	lehren	leːrən	l eː r ə n		467	l eː r - ə n ( - - )
1700	Dutch	*laisjanan	leren	leːrə	l eː r ə		467	l eː r - ə - ( - - )
532	ProtoGermanic	*laistjanan	*laistjanan	laistjanan	l ai s t j a n a n		146	l ai s t j a n ( a n )
533	German	*laistjanan	leisten	laistən	l ai s t ə n		146	l ai s t - ə n ( - - )
534	English	*laistjanan	last	lɑːst	l ɑː s t		146	l ɑː s t - - - ( - - )
255	ProtoGermanic	*laiθaz	*laiθaz	laiθaz	l ai θ a z		71	l ai θ ( a z )
256	German	*laiθaz	Leid	lait	l ai t		71	l ai d ( - - )
257	English	*laiθaz	loath	ləʊθ	l əʊ θ		71	l əʊ θ ( - - )
258	Dutch	*laiθaz	leed	leːt	l eː t		71	l eː t ( - - )
1058	ProtoGermanic	*lakanan	*lakanan	lakanan	l a k a n a n		291	l a k a n ( a n )
1059	German	*lakanan	lachen	laxən	l a x ə n		291	l a x ə n ( - - )
1060	English	*lakanan	laugh	lɑːf	l ɑː f		291	l ɑː f - - ( - - )
1061	Dutch	*lakanan	lachen	lɑxə	l ɑ x ə		291	l ɑ x ə - ( - - )
1347	ProtoGermanic	*landan	*landan	landan	l a n d a n		371	l a n d ( a n )
1348	German	*landan	Land	lant	l a n t		371	l a n d ( - - )
1349	English	*landan	land	lænd	l æ n d		371	l æ n d ( - - )
1350	Dutch	*landan	land	lɑnt	l ɑ n t		371	l ɑ n t ( - - )
1466	ProtoGermanic	*landīn	*landīn	landiːn	l a n d iː n		403	l a n d ( iː n )
1467	German	*landīn	Lende	lɛndə	l ɛ n d ə		403	l ɛ n d ( ə - )
1468	Dutch	*landīn	lende	lɛndə	l ɛ n d ə		403	l ɛ n d ( ə - )
659	ProtoGermanic	*lauban	*lauban	lauban	l au b a n		182	l au b ( a n )
660	German	*lauban	Laub	laup	l au p		182	l au b ( - - )
661	English	*lauban	leaf	liːf	l iː f		182	l iː f ( - - )
662	Dutch	*lauban	loof	loːf	l oː f		182	l oː f ( - - )
263	ProtoGermanic	*laubjanan	*laubjanan	laubjanan	l au b j a n a n		73	( - - ) l au b j a n ( a n )
264	German	*laubjanan	glauben	ɡlaubən	g l au b ə n		73	( g - ) l au b - ə n ( - - )
265	English	*laubjanan	believe	bɪliːv	b ɪ l iː v		73	( b ɪ ) l iː v - - - ( - - )
266	Dutch	*laubjanan	geloven	xəloːvə	x ə l oː v ə		73	( x ə ) l oː v - ə - ( - - )
367	ProtoGermanic	*laugō	*laugō	laugoː	l au g oː		102	l au g oː
368	German	*laugō	Lauge	lauɡə	l au g ə		102	l au g ə
369	English	*laugō	lye	laɪ	l aɪ		102	l aɪ - -
370	Dutch	*laugō	loog	loːx	l oː x		102	l oː x -
782	ProtoGermanic	*laukaz	*laukaz	laukaz	l au k a z		215	l au k ( a z )
783	German	*laukaz	Lauch	laux	l au x		215	l au x ( - - )
784	English	*laukaz	leek	liːk	l iː k		215	l iː k ( - - )
785	Dutch	*laukaz	look	luːk	l uː k		215	l uː k ( - - )
1815	ProtoGermanic	*launan	*launan	launan	l au n a n		499	l au n ( a n )
1816	German	*launan	Lohn	loːn	l oː n		499	l oː n ( - - )
1817	Dutch	*launan	loon	loːn	l oː n		499	l oː n ( - - )
1043	ProtoGermanic	*laxstran	*laxstran	laxstran	l a x s t r a n		287	l a x s t - r ( a n )
1044	German	*laxstran	Laster	lastər	l a s t ə r		287	l a - s t ə r ( - - )
1045	Dutch	*laxstran	laster	lɑstər	l ɑ s t ə r		287	l ɑ - s t ə r ( - - )
401	ProtoGermanic	*laθōjanan	*laθōjanan	laθoːjanan	l a θ oː j a n a n		111	l a θ ( oː ) j a n ( a n )
402	German	*laθōjanan	laden	laːdən	l aː d ə n		111	l aː d ( - ) - ə n ( - - )
